timestamp,mag_inconsistency_angle
501000,0.0
997000,0.0
1505000,0.0
2001000,0.0
2501000,0.0
3000000,0.0
3501000,0.0
3997000,0.0
4501000,0.0
5001000,0.0
5501000,0.0
6001000,0.0
6501000,0.0
7000000,0.0
7501000,0.0
8001000,0.0
8501000,0.0
9005000,0.0
9501000,0.0
10001000,0.0
10501000,0.0
11000000,0.0
11501000,0.0
12000000,0.0
12505000,0.0
12997000,0.0
13501000,0.0
14001000,0.0
14501000,0.0
15005000,0.0
15501000,0.0
16001000,0.0
16501000,0.0
16657000,0.0
50169000,0.0
50173000,0.0
50669000,2.6908071e-09
