timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
473000,464000,197388,0.277226,-0.03375007,0.47143218,0
493000,486500,197388,0.277226,-0.03375007,0.47143218,0
513000,506500,197388,0.277226,-0.03375007,0.47143218,0
533000,526500,197388,0.277226,-0.03375007,0.47143218,0
556000,545750,197388,0.277226,-0.03375007,0.47143218,0
580000,572333,197388,0.27722603,-0.03375007,0.47143218,0
601000,593333,197388,0.27722603,-0.03375007,0.47143218,0
623000,613500,197388,0.277226,-0.03375007,0.47143218,0
649000,637600,197388,0.277226,-0.03375007,0.47143218,0
672000,661800,197388,0.277226,-0.03375007,0.47143218,0
693000,685000,197388,0.277226,-0.03375007,0.47143218,0
713000,704666,197388,0.27722603,-0.03375007,0.47143218,0
733000,724250,197388,0.277226,-0.03375007,0.47143218,0
753000,744800,197388,0.277226,-0.03375007,0.47143218,0
778000,767750,197388,0.277226,-0.03375007,0.47143218,0
801000,792600,197388,0.277226,-0.03375007,0.47143218,0
824000,813600,197388,0.277226,-0.03375007,0.47143218,0
845000,838000,197388,0.277226,-0.03375007,0.47143218,0
867000,860000,197388,0.27722603,-0.03375007,0.47143218,0
889000,882000,197388,0.277226,-0.03375007,0.47143218,0
909000,901750,197388,0.277226,-0.03375007,0.47143218,0
932000,922000,197388,0.277226,-0.03375007,0.47143218,0
954000,944600,197388,0.277226,-0.03375007,0.47143218,0
977000,967400,197388,0.277226,-0.03375007,0.47143218,0
1001000,991750,197388,0.277226,-0.03375007,0.47143218,0
1022000,1014500,197388,0.277226,-0.03375007,0.47143218,0
1042000,1035000,197388,0.277226,-0.03375007,0.47143218,0
1065000,1054400,197388,0.277226,-0.03375007,0.47143218,0
1089000,1082000,197388,0.277226,-0.03375007,0.47143218,0
1113000,1102600,197388,0.277226,-0.03375007,0.47143218,0
1133000,1123500,197388,0.277226,-0.03375007,0.47143218,0
1155000,1145200,197388,0.277226,-0.03375007,0.47143218,0
1177000,1169750,197388,0.277226,-0.03375007,0.47143218,0
1197000,1191000,197388,0.277226,-0.03375007,0.47143218,0
1217000,1210000,197388,0.277226,-0.03375007,0.47143218,0
1241000,1230666,197388,0.277226,-0.033750072,0.47143218,0
1261000,1255666,197388,0.27722603,-0.03375007,0.47143218,0
1284000,1274000,197388,0.277226,-0.03375007,0.47143218,0
1305000,1296800,197388,0.277226,-0.03375007,0.47143218,0
