timestamp,roll,pitch,yaw,thrust_body[0],thrust_body[1],thrust_body[2]
27316126,-0.28514308,0.34794116,-0.0028250013,0.0,0.0,-0.001
27320673,-0.28518748,0.34790364,-0.0028999753,0.0,0.0,-0.001
27335698,-0.28520697,0.3475988,-0.002850987,0.0,0.0,-0.001
27355160,-0.28508353,0.34766164,-0.002831217,0.0,0.0,-0.001
27380763,-0.28486013,0.34745988,-0.0028814683,0.0,0.0,-0.001
27389696,-0.28495413,0.34744796,-0.00275218,0.0,0.0,-0.001
27418260,-0.28490588,0.34748197,-0.002786767,0.0,0.0,-0.001
27433284,-0.28471288,0.34693015,-0.0027444046,0.0,0.0,-0.001
27458773,-0.28478894,0.34712148,-0.0028020449,0.0,0.0,-0.001
27476783,-0.2848786,0.3469872,-0.0027518456,0.0,0.0,-0.001
27491787,-0.2850188,0.34729594,-0.0027629286,0.0,0.0,-0.001
27520301,-0.28474435,0.3474639,-0.0027663652,0.0,0.0,-0.001
27535330,-0.2855745,0.34735903,-0.0032320626,0.0,0.0,-0.001
27554849,-0.28689295,0.34711874,-0.0031188913,0.0,0.0,-0.001
27580383,-0.28667897,0.34701785,-0.002991921,0.0,0.0,-0.001
27599891,-0.2853141,0.34683722,-0.0027691433,0.0,0.0,-0.001
27614907,-0.28520402,0.3467129,-0.0029786052,0.0,0.0,-0.001
27634423,-0.28659818,0.3468008,-0.0028348924,0.0,0.0,-0.001
27659953,-0.28819415,0.34689337,-0.002923253,0.0,0.0,-0.001
27677954,-0.28772774,0.34725752,-0.0028276015,0.0,0.0,-0.001
27697484,-0.2864741,0.3472746,-0.0028346006,0.0,0.0,-0.001
27712499,-0.28624824,0.34669685,-0.002689362,0.0,0.0,-0.001
27738032,-0.28704286,0.34730673,-0.0028828462,0.0,0.0,-0.001
27757539,-0.2878736,0.34693176,-0.0028974428,0.0,0.0,-0.001
27777061,-0.28730673,0.3470964,-0.0028054812,0.0,0.0,-0.001
27792077,-0.2868501,0.34735307,-0.0028009308,0.0,0.0,-0.001
27811603,-0.2870346,0.3470645,-0.0029904547,0.0,0.0,-0.001
27835617,-0.28692743,0.3466541,-0.0030946373,0.0,0.0,-0.001
27855131,-0.28599414,0.34645998,-0.002802179,0.0,0.0,-0.001
27880666,-0.2837587,0.3466408,-0.0025018833,0.0,0.0,-0.001
27895673,-0.28387043,0.34653947,-0.0026326333,0.0,0.0,-0.001
27919691,-0.28581318,0.34640628,-0.002737859,0.0,0.0,-0.001
27934704,-0.28633863,0.3462044,-0.0028176468,0.0,0.0,-0.001
27949744,-0.2860345,0.3460348,-0.0029589066,0.0,0.0,-0.001
27978242,-0.28449595,0.34596688,-0.0030118634,0.0,0.0,-0.001
27997768,-0.2832814,0.34590122,-0.0030393926,0.0,0.0,-0.001
28012789,-0.28442,0.3453476,-0.0028828997,0.0,0.0,-0.001
28038317,-0.28735888,0.34537265,-0.0027280014,0.0,0.0,-0.001
28057819,-0.28864706,0.34568992,-0.0030460088,0.0,0.0,-0.001
28077386,-0.28656313,0.34519678,-0.0023845164,0.0,0.0,-0.001
28092350,-0.28538552,0.34577274,-0.002729649,0.0,0.0,-0.001
28111888,-0.28555673,0.34559232,-0.0030169666,0.0,0.0,-0.001
28137403,-0.28799444,0.34558052,-0.0027261116,0.0,0.0,-0.001
28156916,-0.28922305,0.3451784,-0.0031091245,0.0,0.0,-0.001
28176475,-0.2869682,0.34484553,-0.0025882903,0.0,0.0,-0.001
28194433,-0.285098,0.3452169,-0.0025366156,0.0,0.0,-0.001
28219971,-0.28435174,0.34473908,-0.0027089017,0.0,0.0,-0.001
28234989,-0.28517595,0.345081,-0.0030187187,0.0,0.0,-0.001
28259045,-0.28736883,0.34527117,-0.002816204,0.0,0.0,-0.001
28280036,-0.288201,0.34536415,-0.0025189053,0.0,0.0,-0.001
28299549,-0.28579828,0.34560135,-0.0029252635,0.0,0.0,-0.001
28314553,-0.28440708,0.34572273,-0.002683185,0.0,0.0,-0.001
28337073,-0.2835899,0.34584057,-0.0030031663,0.0,0.0,-0.001
28356641,-0.2858105,0.34562135,-0.0030576198,0.0,0.0,-0.001
28371663,-0.28675318,0.34563303,-0.0029014908,0.0,0.0,-0.001
28391139,-0.28701544,0.3455387,-0.0025851727,0.0,0.0,-0.001
28419695,-0.28523254,0.3458993,-0.0029581971,0.0,0.0,-0.001
28434681,-0.28448054,0.3459643,-0.0028887691,0.0,0.0,-0.001
28458686,-0.28598738,0.3460309,-0.0027079638,0.0,0.0,-0.001
28479748,-0.28704557,0.346017,-0.0028495023,0.0,0.0,-0.001
28499275,-0.2863295,0.3456228,-0.0026224686,0.0,0.0,-0.001
28514294,-0.28607917,0.3459202,-0.0027791043,0.0,0.0,-0.001
28538263,-0.28503457,0.34666935,-0.0028777807,0.0,0.0,-0.001
28559335,-0.28535616,0.34679335,-0.002899441,0.0,0.0,-0.001
28577310,-0.2857928,0.34695736,-0.0027306455,0.0,0.0,-0.001
28592330,-0.2862514,0.34759632,-0.002701933,0.0,0.0,-0.001
28617853,-0.2868542,0.34792596,-0.0028296218,0.0,0.0,-0.001
28637379,-0.2866446,0.34771252,-0.0027071107,0.0,0.0,-0.001
28656936,-0.2854593,0.34854415,-0.0029562023,0.0,0.0,-0.001
28671949,-0.2847413,0.3483577,-0.0028986325,0.0,0.0,-0.001
28691427,-0.2850588,0.34844592,-0.0027517655,0.0,0.0,-0.001
28719961,-0.2854343,0.34937608,-0.0029754296,0.0,0.0,-0.001
28734967,-0.28594106,0.3488742,-0.0028548373,0.0,0.0,-0.001
28758982,-0.28599387,0.34986755,-0.0026543604,0.0,0.0,-0.001
28780013,-0.28519997,0.34907225,-0.0029142983,0.0,0.0,-0.001
28795026,-0.28460822,0.3498452,-0.0028846448,0.0,0.0,-0.001
28814582,-0.28433874,0.34942093,-0.002808849,0.0,0.0,-0.001
28840062,-0.28461072,0.35028145,-0.002692344,0.0,0.0,-0.001
28859627,-0.28492862,0.35003352,-0.0030733258,0.0,0.0,-0.001
28877600,-0.28529784,0.3495475,-0.0026188847,0.0,0.0,-0.001
28892613,-0.28513244,0.3504473,-0.0028132028,0.0,0.0,-0.001
28918138,-0.28530687,0.35026395,-0.0030401538,0.0,0.0,-0.001
28937659,-0.28494322,0.35035175,-0.0025304118,0.0,0.0,-0.001
28957220,-0.2850201,0.35084102,-0.003123335,0.0,0.0,-0.001
28972236,-0.2855256,0.35004082,-0.0028260464,0.0,0.0,-0.001
29000705,-0.2853325,0.3506264,-0.00284999,0.0,0.0,-0.001
29015779,-0.2847083,0.35097972,-0.0030485925,0.0,0.0,-0.001
29035247,-0.28503102,0.35142455,-0.002789073,0.0,0.0,-0.001
29060785,-0.2863293,0.35094398,-0.0025952961,0.0,0.0,-0.001
29075798,-0.28673327,0.35175738,-0.0026863087,0.0,0.0,-0.001
29095311,-0.28545678,0.35113785,-0.0030530775,0.0,0.0,-0.001
29114873,-0.28397122,0.35148278,-0.0026765356,0.0,0.0,-0.001
29140353,-0.28369355,0.35179055,-0.0028362318,0.0,0.0,-0.001
29158358,-0.28482726,0.35176107,-0.00271185,0.0,0.0,-0.001
29177886,-0.2861816,0.35190654,-0.0030059607,0.0,0.0,-0.001
29192897,-0.2851389,0.35236043,-0.00283167,0.0,0.0,-0.001
29218427,-0.28335145,0.3530411,-0.0030526884,0.0,0.0,-0.001
29237951,-0.28323108,0.3529901,-0.0026298566,0.0,0.0,-0.001
29257515,-0.2821076,0.35304537,-0.0028670009,0.0,0.0,-0.001
29272524,-0.2820649,0.3534794,-0.0027594026,0.0,0.0,-0.001
29292023,-0.28084448,0.35409966,-0.0030325742,0.0,0.0,-0.001
29316022,-0.27927497,0.3540003,-0.00287242,0.0,0.0,-0.001
29340090,-0.27875966,0.35448056,-0.0027362995,0.0,0.0,-0.001
29355102,-0.27849808,0.35484457,-0.0027853646,0.0,0.0,-0.001
29374573,-0.2784499,0.3550137,-0.0026923623,0.0,0.0,-0.001
29392627,-0.27793956,0.35536602,-0.0029106007,0.0,0.0,-0.001
29418118,-0.27882683,0.3552678,-0.0027888583,0.0,0.0,-0.001
29437675,-0.27958396,0.3550448,-0.0027930066,0.0,0.0,-0.001
29457149,-0.2779074,0.35506776,-0.0027639123,0.0,0.0,-0.001
29472165,-0.27717352,0.3551251,-0.002725625,0.0,0.0,-0.001
29497741,-0.2763521,0.3558106,-0.0028482033,0.0,0.0,-0.001
29517209,-0.2766603,0.35634905,-0.0027995193,0.0,0.0,-0.001
29539718,-0.27766228,0.35626507,-0.002818519,0.0,0.0,-0.001
29560751,-0.2775553,0.35631168,-0.0026265609,0.0,0.0,-0.001
29575767,-0.27702734,0.3565169,-0.0027619374,0.0,0.0,-0.001
29599828,-0.27641934,0.3573582,-0.0028112922,0.0,0.0,-0.001
29614803,-0.2763761,0.35767937,-0.0026147706,0.0,0.0,-0.001
29629809,-0.27676094,0.35777277,-0.002963343,0.0,0.0,-0.001
29655390,-0.27698597,0.35833585,-0.002967137,0.0,0.0,-0.001
29679360,-0.2775582,0.35832095,-0.0029620947,0.0,0.0,-0.001
29694381,-0.278222,0.35878563,-0.0029408762,0.0,0.0,-0.001
29718403,-0.27788454,0.35873157,-0.002813768,0.0,0.0,-0.001
29739430,-0.27637073,0.35924065,-0.003003685,0.0,0.0,-0.001
29757448,-0.2755658,0.35972205,-0.002534195,0.0,0.0,-0.001
29772457,-0.2760049,0.35966954,-0.002818035,0.0,0.0,-0.001
29798030,-0.2775423,0.35972404,-0.0026808279,0.0,0.0,-0.001
29817497,-0.27706692,0.36002368,-0.00277987,0.0,0.0,-0.001
29837014,-0.2763935,0.36020866,-0.0029307506,0.0,0.0,-0.001
29852033,-0.2760929,0.36030543,-0.0028057902,0.0,0.0,-0.001
29877557,-0.27578744,0.36019737,-0.0030940408,0.0,0.0,-0.001
29897073,-0.27638498,0.3609764,-0.0025194245,0.0,0.0,-0.001
29915085,-0.27604684,0.3605899,-0.0029743998,0.0,0.0,-0.001
29939103,-0.27564064,0.36138666,-0.002725575,0.0,0.0,-0.001
29960132,-0.27474022,0.36117136,-0.0027001202,0.0,0.0,-0.001
29979655,-0.27551186,0.36109024,-0.0028478599,0.0,0.0,-0.001
29994659,-0.27642316,0.36156154,-0.0026585732,0.0,0.0,-0.001
30018669,-0.2768377,0.36143443,-0.00298902,0.0,0.0,-0.001
30039706,-0.2753495,0.3618227,-0.0030177557,0.0,0.0,-0.001
30057765,-0.27404723,0.36215168,-0.0027360208,0.0,0.0,-0.001
30072746,-0.27429074,0.36175987,-0.0026783985,0.0,0.0,-0.001
30098314,-0.27578864,0.36167425,-0.002992054,0.0,0.0,-0.001
30117780,-0.27555975,0.3623054,-0.0025016004,0.0,0.0,-0.001
30137304,-0.2748685,0.3620292,-0.0030453757,0.0,0.0,-0.001
30152315,-0.2748537,0.36248654,-0.0029467314,0.0,0.0,-0.001
30177842,-0.27509308,0.36252832,-0.0027453958,0.0,0.0,-0.001
30197353,-0.27553722,0.36282316,-0.0030006636,0.0,0.0,-0.001
30215369,-0.2750588,0.3629553,-0.00257714,0.0,0.0,-0.001
30239383,-0.27549988,0.3633276,-0.0031471192,0.0,0.0,-0.001
30260420,-0.2745143,0.3631885,-0.003045051,0.0,0.0,-0.001
30275437,-0.273876,0.36298725,-0.0027574063,0.0,0.0,-0.001
30294950,-0.27435577,0.36362746,-0.0029285112,0.0,0.0,-0.001
30320478,-0.27391046,0.3629701,-0.0028466044,0.0,0.0,-0.001
30335497,-0.27350852,0.3625285,-0.0031055629,0.0,0.0,-0.001
30355023,-0.27259356,0.36330098,-0.0025493968,0.0,0.0,-0.001
30373021,-0.27229732,0.3630729,-0.0030164076,0.0,0.0,-0.001
30398606,-0.27296892,0.363592,-0.00286343,0.0,0.0,-0.001
30418071,-0.27365777,0.36384833,-0.002769079,0.0,0.0,-0.001
30437585,-0.2728679,0.36306763,-0.0029252782,0.0,0.0,-0.001
30452596,-0.27228892,0.36372125,-0.0025155095,0.0,0.0,-0.001
30478123,-0.27281934,0.36388978,-0.0027730945,0.0,0.0,-0.001
