gyro_rad[0],gyro_rad[1],gyro_rad[2],accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],timestamp,DTMode
-0.2668487,0.0242348,0.20399818,0.0,1.4063315e-07,-8.057686,38184000,2_7
-0.2583266,0.022370566,0.19760668,0.0,1.4036154e-07,-8.042124,38188000,2_7
-0.2503371,0.020240042,0.19174777,0.0,1.4015261e-07,-8.030154,38192000,2_7
-0.23648858,0.014913682,0.18109518,0.0,1.3967205e-07,-8.002619,38200000,2_7
-0.23009698,0.011717875,0.17576887,0.0,1.3944224e-07,-7.9894524,38204000,2_7
-0.22317274,0.008522089,0.17017622,0.0,1.3929598e-07,-7.9810715,38209000,2_7
-0.21465056,0.004793672,0.16351841,0.0,1.3908702e-07,-7.9690995,38216000,2_7
-0.19893806,-0.0010652853,0.1510014,0.0,1.386483e-07,-7.9439616,38222000,2_7
-0.19361177,-0.002396846,0.14700653,0.0,1.3860648e-07,-7.9415665,38227000,2_7
-0.18668751,-0.003994728,0.14194664,0.0,1.3866918e-07,-7.9451585,38231000,2_7
-0.17150754,-0.0063915527,0.13129391,0.0,1.3900346e-07,-7.964312,38239000,2_7
-0.16351806,-0.0071904766,0.1262339,0.0,1.3898256e-07,-7.9631143,38244000,2_7
-0.14780547,-0.007456803,0.11664647,0.0,1.3837669e-07,-7.9284005,38251000,2_7
-0.13848439,-0.007190463,0.11078751,0.0,1.3791701e-07,-7.9020624,38259000,2_7
-0.11558119,-0.006125153,0.0974717,0.0,1.372484e-07,-7.8637547,38268000,2_7
-0.095074855,-0.005326205,0.08602014,0.0,1.3708127e-07,-7.8541784,38280000,2_7
-0.08229163,-0.005592363,0.07882963,0.0,1.3687234e-07,-7.842208,38285000,2_7
-0.05938845,-0.007190347,0.0665791,0.0,1.3691414e-07,-7.8446016,38295000,2_7
-0.050067402,-0.007989377,0.06151906,0.0,1.3714396e-07,-7.85777,38300000,2_7
-0.034088425,-0.0106525645,0.052198004,0.0,1.371231e-07,-7.856575,38308000,2_7
-0.026897894,-0.011717835,0.047936946,0.0,1.367679e-07,-7.8362226,38312000,2_7
-0.014647356,-0.013848384,0.03994745,0.0,1.3603663e-07,-7.794325,38318000,2_7
-0.009587365,-0.014913677,0.03675164,0.0,1.3589036e-07,-7.785944,38323000,2_7
0.001331609,-0.016245233,0.028762173,0.0,1.358068e-07,-7.7811565,38331000,2_7
0.011717932,-0.01704418,0.021039004,0.0,1.3582768e-07,-7.7823524,38339000,2_7
0.016777938,-0.017044181,0.01731058,0.0,1.3591125e-07,-7.787141,38343000,2_7
0.025832685,-0.01677787,0.009853723,0.0,1.3641268e-07,-7.8158712,38351000,2_7
0.03648533,-0.015446276,0.0015979364,0.0,1.3756183e-07,-7.881712,38364000,2_7
0.043143284,-0.014380918,-0.0037283201,0.0,1.386065e-07,-7.9415674,38368000,2_7
0.052197978,-0.01278313,-0.01171788,0.0,1.4013173e-07,-8.028957,38376000,2_7
0.056991667,-0.011717859,-0.015712613,0.0,1.4096744e-07,-8.076839,38383000,2_7
0.06604644,-0.009587297,-0.025299985,0.0,1.4341197e-07,-8.2169,38392000,2_7
0.06924221,-0.008522066,-0.028762108,0.0,1.4443577e-07,-8.27556,38396000,2_7
0.07456853,-0.007190483,-0.035153717,0.0,1.4635792e-07,-8.385692,38404000,2_7
0.076699056,-0.0066578486,-0.0383495,0.0,1.4733993e-07,-8.441956,38408000,2_7
0.07856326,-0.006391529,-0.0415453,0.0,1.4836368e-07,-8.500613,38412000,2_7
0.0804275,-0.0061251987,-0.045273725,0.0,1.4967999e-07,-8.576031,38420000,2_7
0.082558036,-0.005592474,-0.049534768,0.0,1.5124701e-07,-8.665815,38424000,2_7
0.08415589,-0.0053262375,-0.053529523,0.0,1.5256325e-07,-8.74123,38429000,2_7
0.085221164,-0.005326205,-0.057524275,0.0,1.5379595e-07,-8.811859,38436000,2_7
0.08655276,-0.004527285,-0.06498112,0.0,1.5621963e-07,-8.950726,38444000,2_7
0.0873517,-0.0034620375,-0.070573755,0.0,1.5820447e-07,-9.064449,38452000,2_7
0.08761804,-0.0026630652,-0.074035875,0.0,1.5943718e-07,-9.1350765,38460000,2_7
0.08841698,-0.00079888775,-0.08096008,0.0,1.6175633e-07,-9.267955,38467000,2_7
