timestamp,error_count,differential_pressure_raw_pa,differential_pressure_filtered_pa,temperature,device_id
1004000,0,-0.08046365,-0.08046365,24.675455,0
2004000,0,0.06346084,0.06346084,24.675455,0
3000000,0,-0.20272662,-0.20272662,24.675455,0
4000000,0,0.23600169,0.23600169,24.675455,0
5000000,0,-0.5058314,-0.5058314,24.675455,0
6004000,0,-0.034344465,-0.034344465,24.675455,0
7004000,0,-0.13580388,-0.13580388,24.675455,0
8000000,0,-0.18157616,-0.18157616,24.675455,0
9004000,0,0.3074287,0.3074287,24.675455,0
10000000,0,-0.31334794,-0.31334794,24.675455,0
11000000,0,0.4759739,0.4759739,24.675455,0
12000000,0,0.4969443,0.4969443,24.675455,0
13000000,0,0.4816686,0.4816686,24.675455,0
14000000,0,0.3909273,0.3909273,24.675455,0
15000000,0,-0.099382885,-0.099382885,24.675455,0
16000000,0,-0.43199006,-0.43199006,24.675455,0
17000000,0,-0.15295886,-0.15295886,24.675455,0
18000000,0,-0.38897428,-0.38897428,24.675455,0
19004000,0,-0.5381537,-0.5381537,24.67546,0
20000000,0,0.4805959,0.4805959,24.675407,0
21000000,0,0.6767911,0.6767911,24.67297,0
22000000,0,-0.47268966,-0.47268966,24.671509,0
23000000,0,0.20974159,0.20974159,24.671036,0
24000000,0,-0.5402522,-0.5402522,24.671064,0
25000000,0,0.42136893,0.42136893,24.67105,0
26000000,0,-0.404622,-0.404622,24.67067,0
27000000,0,0.5430487,0.5430487,24.670527,0
28000000,0,0.23614152,0.23614152,24.670538,0
29000000,0,-0.12951922,-0.12951922,24.670609,0
30000000,0,0.63255674,0.63255674,24.670738,0
31000000,0,0.19534867,0.19534867,24.670792,0
32000000,0,-0.44623747,-0.44623747,24.670727,0
33000000,0,-0.3456301,-0.3456301,24.67068,0
34000000,0,-0.4273297,-0.4273297,24.670534,0
35004000,0,-0.6287832,-0.6287832,24.670588,0
36000000,0,0.46923864,0.46923864,24.670675,0
37004000,0,0.22650158,0.22650158,24.670742,0
38000000,0,0.8099417,0.8099417,24.672709,0
39000000,0,0.62281394,0.62281394,24.675531,0
40003000,0,-0.038538586,-0.038538586,24.675455,0
41004000,0,0.46270937,0.46270937,24.675497,0
42000000,0,-0.423892,-0.423892,24.675497,0
43000000,0,0.21550581,0.21550581,24.675497,0
