timestamp,error_count,differential_pressure_raw_pa,differential_pressure_filtered_pa,temperature,device_id
1000000,0,0.018109556,0.018109556,24.675455,0
2000000,0,-0.4328163,-0.4328163,24.675455,0
3000000,0,0.10326265,0.10326265,24.675455,0
4005000,0,-0.13985373,-0.13985373,24.675455,0
5005000,0,-0.033326317,-0.033326317,24.675455,0
6004000,0,-0.070816755,-0.070816755,24.675455,0
7000000,0,-0.16466397,-0.16466397,24.675455,0
8004000,0,-0.47210544,-0.47210544,24.675455,0
9001000,0,-0.030307649,-0.030307649,24.675455,0
10001000,0,0.25576496,0.25576496,24.675455,0
11000000,0,0.35516328,0.35516328,24.675455,0
12001000,0,-0.04142485,-0.04142485,24.675455,0
13004000,0,-0.002614456,-0.002614456,24.675455,0
14001000,0,0.35367727,0.35367727,24.675455,0
15000000,0,0.44647637,0.44647637,24.675455,0
16001000,0,-0.5301573,-0.5301573,24.675455,0
17000000,0,-0.0394954,-0.0394954,24.675455,0
18000000,0,0.066554874,0.066554874,24.675455,0
19001000,0,-0.017731044,-0.017731044,24.675455,0
20000000,0,-0.3785316,-0.3785316,24.675455,0
21001000,0,-0.47976476,-0.47976476,24.675455,0
22003000,0,0.20067295,0.20067295,24.675455,0
23000000,0,0.09881307,0.09881307,24.67546,0
24001000,0,0.55131114,0.55131114,24.67479,0
25004000,0,0.0150110265,0.0150110265,24.673141,0
26004000,0,-0.38104427,-0.38104427,24.671991,0
27004000,0,0.39560944,0.39560944,24.671028,0
28000000,0,-0.16054231,-0.16054231,24.671114,0
29000000,0,-0.039928418,-0.039928418,24.671152,0
30004000,0,-0.29866254,-0.29866254,24.670996,0
31001000,0,0.25009432,0.25009432,24.671146,0
32004000,0,0.1754004,0.1754004,24.6718,0
33001000,0,0.4506871,0.4506871,24.672161,0
34000000,0,-0.107028745,-0.107028745,24.672293,0
35000000,0,0.392246,0.392246,24.672367,0
36000000,0,-0.47085816,-0.47085816,24.672304,0
37004000,0,-0.19235861,-0.19235861,24.675097,0
38000000,0,0.22693965,0.22693965,24.675455,0
39000000,0,-0.48457783,-0.48457783,24.67546,0
40000000,0,-0.45516533,-0.45516533,24.675472,0
41001000,0,0.0122936135,0.0122936135,24.675472,0
