timestamp,timestamp_sample,baro_device_id,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
495000,471800,6620172,49.936146,24.675455,100726.64,1.1780111
548000,523384,6620172,49.983097,24.675455,100726.05,1.178004
599000,577000,6620172,49.936146,24.675455,100726.64,1.1780111
651000,628900,6620172,49.917366,24.675455,100726.88,1.1780139
707000,678600,6620172,49.945534,24.675455,100726.53,1.1780097
758000,735888,6620172,49.907974,24.675455,100726.98,1.178015
816000,787900,6620172,49.93145,24.675455,100726.72,1.1780119
869000,843444,6620172,49.917366,24.675455,100726.84,1.1780133
920000,897500,6620172,49.964314,24.675455,100726.29,1.1780069
971000,952222,6620172,49.91267,24.675455,100726.92,1.1780143
1022000,999800,6620172,49.983097,24.675455,100726.09,1.1780046
1072000,1049363,6620172,49.98779,24.675455,100725.98,1.1780032
1123000,1098272,6620172,49.945534,24.675455,100726.51,1.1780095
1175000,1149666,6620172,49.936146,24.675455,100726.63,1.178011
1227000,1203100,6620172,49.936146,24.675455,100726.66,1.1780112
1278000,1255000,6620172,49.95962,24.675455,100726.38,1.1780081
1332000,1311090,6620172,49.973705,24.675455,100726.18,1.1780057
1382000,1359090,6620172,49.945534,24.675455,100726.484,1.1780092
1432000,1408100,6620172,49.94084,24.675455,100726.58,1.1780102
1484000,1460555,6620172,49.917366,24.675455,100726.87,1.1780137
1539000,1514200,6620172,49.870415,24.675455,100727.44,1.1780204
1592000,1567200,6620172,49.9784,24.675455,100726.11,1.1780049
1644000,1620083,6620172,49.973705,24.675455,100726.23,1.1780062
1694000,1671818,6620172,49.91267,24.675455,100726.914,1.1780142
1744000,1721555,6620172,49.936146,24.675455,100726.65,1.1780111
1796000,1771666,6620172,49.964314,24.675455,100726.32,1.1780074
1848000,1822909,6620172,49.95962,24.675455,100726.34,1.1780075
1904000,1875181,6620172,49.898586,24.675455,100727.07,1.1780161
1955000,1933444,6620172,49.964314,24.675455,100726.33,1.1780074
2008000,1985900,6620172,49.964314,24.675455,100726.28,1.1780068
2060000,2036454,6620172,49.90328,24.675455,100727.016,1.1780154
2111000,2088700,6620172,49.91267,24.675455,100726.94,1.1780145
2163000,2140100,6620172,49.922062,24.675455,100726.83,1.1780132
2216000,2189636,6620172,49.936146,24.675455,100726.62,1.1780108
2268000,2242181,6620172,49.95962,24.675455,100726.37,1.1780078
2324000,2294400,6620172,49.90328,24.675455,100727.05,1.1780158
2375000,2351800,6620172,49.898586,24.675455,100727.086,1.1780162
2427000,2406125,6620172,49.879807,24.675455,100727.28,1.1780185
2478000,2455400,6620172,49.96901,24.675455,100726.234,1.1780063
2531000,2508375,6620172,49.9784,24.675455,100726.13,1.1780051
2582000,2559583,6620172,49.936146,24.675455,100726.62,1.1780108
2634000,2610666,6620172,49.922062,24.675455,100726.81,1.1780131
2685000,2661300,6620172,49.90328,24.675455,100727.02,1.1780155
2736000,2712000,6620172,49.898586,24.675455,100727.12,1.1780167
2786000,2763444,6620172,49.936146,24.675455,100726.63,1.178011
2838000,2815666,6620172,49.95962,24.675455,100726.38,1.1780081
2888000,2868125,6620172,49.90328,24.675455,100727.03,1.1780156
2939000,2917777,6620172,49.917366,24.675455,100726.88,1.1780139
2991000,2967300,6620172,49.91267,24.675455,100726.94,1.1780145
3047000,3020272,6620172,49.93145,24.675455,100726.72,1.1780119
3104000,3075818,6620172,49.96901,24.675455,100726.266,1.1780066
3155000,3131800,6620172,49.964314,24.675455,100726.3,1.178007
3207000,3182000,6620172,49.91267,24.675455,100726.93,1.1780144
3260000,3236555,6620172,49.91267,24.675455,100726.9,1.178014
3315000,3289000,6620172,49.992485,24.675455,100725.945,1.178003
3369000,3343111,6620172,49.95962,24.675455,100726.37,1.1780078
3419000,3397000,6620172,49.898586,24.675455,100727.06,1.178016
3472000,3450222,6620172,49.992485,24.675455,100725.96,1.1780031
3523000,3499700,6620172,49.964314,24.675455,100726.3,1.178007
3576000,3550545,6620172,49.945534,24.675455,100726.52,1.1780096
3628000,3608000,6620172,49.898586,24.675455,100727.08,1.1780161
3683000,3658500,6620172,49.95962,24.675455,100726.38,1.1780081
3740000,3710500,6620172,49.96901,24.675455,100726.266,1.1780066
3791000,3770300,6620172,49.889194,24.675455,100727.234,1.178018
3842000,3817600,6620172,49.983097,24.675455,100726.086,1.1780045
3896000,3869700,6620172,49.89389,24.675455,100727.164,1.1780171
3947000,3923363,6620172,49.983097,24.675455,100726.05,1.178004
3999000,3975666,6620172,49.954926,24.675455,100726.42,1.1780084
4049000,4027333,6620172,49.922062,24.675455,100726.83,1.1780132
4103000,4079222,6620172,49.922062,24.675455,100726.8,1.1780128
4156000,4133200,6620172,49.95962,24.675455,100726.37,1.1780078
4206000,4184777,6620172,50.011265,24.675455,100725.76,1.1780007
4256000,4235000,6620172,49.91267,24.675455,100726.94,1.1780145
4312000,4286000,6620172,49.93145,24.675455,100726.73,1.178012
4368000,4340000,6620172,49.926754,24.675455,100726.74,1.1780123
4420000,4397555,6620172,49.879807,24.675455,100727.29,1.1780186
4472000,4445000,6620172,49.94084,24.675455,100726.59,1.1780105
4523000,4496600,6620172,49.954926,24.675455,100726.41,1.1780082
4576000,4553500,6620172,49.94084,24.675455,100726.59,1.1780105
4632000,4604545,6620172,49.90328,24.675455,100727.016,1.1780154
4682000,4659750,6620172,49.9784,24.675455,100726.164,1.1780055
4735000,4708666,6620172,49.926754,24.675455,100726.76,1.1780125
4786000,4762250,6620172,49.96901,24.675455,100726.25,1.1780065
4838000,4813700,6620172,49.94084,24.675455,100726.56,1.1780101
4888000,4865600,6620172,49.9784,24.675455,100726.13,1.1780051
4938000,4914916,6620172,49.926754,24.675455,100726.766,1.1780125
4988000,4970250,6620172,49.94084,24.675455,100726.55,1.17801
5041000,5015600,6620172,49.954926,24.675455,100726.43,1.1780086
5092000,5067818,6620172,49.945534,24.675455,100726.52,1.1780096
5143000,5121600,6620172,49.936146,24.675455,100726.61,1.1780107
5196000,5173100,6620172,49.89389,24.675455,100727.164,1.1780171
5252000,5226300,6620172,49.95023,24.675455,100726.47,1.178009
5302000,5280500,6620172,50.00657,24.675455,100725.766,1.1780008
5359000,5332636,6620172,49.973705,24.675455,100726.23,1.1780062
5409000,5385555,6620172,49.91267,24.675455,100726.93,1.1780144
5460000,5436181,6620172,49.94084,24.675455,100726.6,1.1780106
5514000,5489800,6620172,49.973705,24.675455,100726.2,1.1780059
5566000,5542500,6620172,49.95962,24.675455,100726.336,1.1780074
5620000,5596727,6620172,49.983097,24.675455,100726.055,1.1780041
5676000,5646600,6620172,49.954926,24.675455,100726.41,1.1780082
5728000,5704555,6620172,49.96901,24.675455,100726.26,1.1780066
5783000,5757777,6620172,49.945534,24.675455,100726.52,1.1780096
5836000,5812222,6620172,49.922062,24.675455,100726.81,1.1780131
5888000,5866777,6620172,49.89389,24.675455,100727.15,1.1780169
5939000,5917111,6620172,49.922062,24.675455,100726.78,1.1780126
5991000,5969000,6620172,49.91267,24.675455,100726.914,1.1780142
6042000,6020200,6620172,49.922062,24.675455,100726.8,1.1780128
6092000,6071500,6620172,49.95962,24.675455,100726.39,1.1780081
6145000,6119222,6620172,49.945534,24.675455,100726.49,1.1780093
6196000,6172800,6620172,49.964314,24.675455,100726.28,1.1780068
6247000,6224500,6620172,49.936146,24.675455,100726.63,1.178011
6298000,6277222,6620172,49.9784,24.675455,100726.15,1.1780052
6356000,6328200,6620172,49.85633,24.675455,100727.58,1.1780219
6411000,6386300,6620172,49.94084,24.675455,100726.55,1.17801
6463000,6437777,6620172,49.945534,24.675455,100726.52,1.1780096
6516000,6491272,6620172,49.936146,24.675455,100726.66,1.1780112
6566000,6543200,6620172,49.936146,24.675455,100726.64,1.1780111
6624000,6600222,6620172,49.922062,24.675455,100726.79,1.1780127
6675000,6653250,6620172,49.95023,24.675455,100726.48,1.1780092
6727000,6700500,6620172,49.954926,24.675455,100726.414,1.1780083
6779000,6754555,6620172,49.992485,24.675455,100725.95,1.178003
6832000,6807500,6620172,49.922062,24.675455,100726.77,1.1780125
6883000,6858700,6620172,49.93145,24.675455,100726.695,1.1780117
6936000,6908636,6620172,49.91267,24.675455,100726.94,1.1780145
6988000,6966500,6620172,49.922062,24.675455,100726.82,1.1780132
7038000,7015363,6620172,49.94084,24.675455,100726.6,1.1780106
7090000,7070111,6620172,49.93145,24.675455,100726.69,1.1780117
7140000,7118666,6620172,49.936146,24.675455,100726.63,1.178011
7191000,7167444,6620172,49.9784,24.675455,100726.15,1.1780052
