magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],timestamp,DTMode
-0.77383983,0.050996467,0.684117,51222477,2_7
-0.7432837,0.117105015,0.779422,51713226,2_7
-0.72487223,0.0877223,0.7097618,52224796,2_7
-0.65719444,-0.039663248,0.7637906,52715649,2_7
-0.66419643,0.019231305,0.79486907,53227558,2_7
-0.66016567,0.04950641,0.8489105,53717953,2_7
-0.64735633,0.082554355,0.804091,54208700,2_7
-0.6486774,0.08601715,0.81459004,54720730,2_7
-0.6523143,0.072703,0.82278746,55211109,2_7
-0.6363272,0.09562866,0.82685876,55723168,2_7
-0.63971066,0.08119585,0.807797,56213932,2_7
