timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,close_to_ground_or_skipped_check
55232774,inf,0,1,1,1,0,0,1,0,0,1
56232776,inf,0,1,1,1,0,0,1,0,0,1
57244864,inf,0,1,1,1,0,0,1,0,0,1
58244971,inf,0,1,1,1,0,0,1,0,0,1
59249582,inf,0,1,1,1,0,0,1,0,0,1
59369537,inf,0,1,1,1,1,0,1,0,0,1
60378642,inf,0,1,1,1,1,0,1,0,0,1
61039953,inf,0,1,0,0,1,0,1,0,0,1
61050603,inf,0,0,0,0,1,0,1,0,0,1
62053664,inf,0,0,0,0,1,0,0,1,0,1
63061077,inf,0,0,0,0,1,0,0,0,0,1
64062695,inf,0,0,0,0,1,0,0,0,0,1
65062794,inf,0,0,0,0,1,0,0,0,0,1
66070444,inf,0,0,0,0,1,0,0,0,0,1
67078080,inf,0,0,0,0,1,0,0,0,0,1
68091508,inf,0,0,0,0,1,0,0,0,0,1
69094577,inf,0,0,0,0,1,0,0,0,0,1
70100610,inf,0,0,0,0,1,0,0,0,0,1
71112652,inf,0,0,0,0,1,0,0,0,0,1
72115686,inf,0,0,0,0,1,0,0,0,0,1
73117256,inf,0,0,0,0,1,0,0,0,0,1
74120232,inf,0,0,0,0,1,0,0,0,0,1
75121759,inf,0,0,0,0,1,0,0,0,0,1
76130850,inf,0,0,0,0,1,0,0,0,0,1
77136784,inf,0,0,0,0,1,0,0,0,0,1
78141271,inf,0,0,0,0,1,0,0,0,0,1
79144320,inf,0,0,0,0,1,0,0,0,0,1
80153211,inf,0,0,0,0,1,0,0,1,0,1
81157815,inf,0,0,0,0,1,1,1,0,0,1
81524969,inf,0,1,0,0,1,1,1,0,0,1
81863774,inf,0,1,1,0,1,1,1,0,0,1
82207132,inf,0,1,1,1,1,1,1,0,0,1
83207164,inf,0,1,1,1,1,1,1,0,0,1
84216141,inf,0,1,1,1,1,1,1,0,0,1
