timestamp,saturation_status
996000,1529
2000000,1529
3000000,1529
4000000,1533
5000000,1533
6001000,1533
7000000,1533
8001000,1533
9000000,1533
10000000,1533
10996000,1533
12004000,1533
13001000,1533
14000000,1533
15001000,1533
16000000,1533
17000000,1
18000000,1
19000000,1
20001000,1
21000000,1
22000000,1
23000000,1
24001000,1
25000000,1
26001000,1
27000000,1
28000000,1
29004000,1
30005000,1
31000000,1
32000000,1
33004000,1
34000000,1
35001000,1
36000000,1
37001000,1
38000000,1
39002000,1
40000000,1
41000000,1
42000000,1
43000000,1
44000000,1
45004000,1
46001000,1533
47000000,1533
48001000,1533
