timestamp,main_state_changes,main_state
28945764,2,7
29451636,2,7
29957633,2,7
30463661,2,7
30969652,2,7
31475658,2,7
31926687,2,7
32432661,2,7
32938700,2,7
32950035,2,7
32960637,2,7
33466637,2,7
33972653,2,7
34478634,2,7
34984634,2,7
35490663,2,7
35996667,2,7
36502713,2,7
37008634,2,7
37514636,2,7
37943669,2,7
37954677,2,7
37965643,2,7
38471672,2,7
38977632,2,7
39483644,2,7
39989660,2,7
40495635,2,7
40957669,2,7
40979649,2,7
41485840,2,7
41991645,2,7
42497642,2,7
43003647,2,7
43509650,2,7
44015658,2,7
44521650,2,7
45027650,2,7
45533633,2,7
46039660,2,7
46545654,2,7
47051636,2,7
47557639,2,7
48063648,2,7
48569662,2,7
49075660,2,7
49581636,2,7
50087632,2,7
50593646,2,7
50967760,3,11
50979242,3,11
51484634,3,11
51990632,3,11
52496635,3,11
53002634,3,11
53508649,3,11
54014637,3,11
54520638,3,11
55026698,3,11
55532637,3,11
55796706,3,11
55984693,3,11
56491653,3,11
56504797,3,11
