timestamp,speed_xy,speed_up,speed_down,want_takeoff
11805000,5.0,3.0,1.0,0
11821000,5.0,3.0,1.0,0
12809000,5.0,3.0,1.0,0
13813000,5.0,3.0,1.0,0
14817000,5.0,3.0,1.0,0
15797000,5.0,3.0,1.0,0
16813000,5.0,3.0,1.0,0
17817000,5.0,3.0,1.0,0
18801000,5.0,3.0,1.0,0
19805000,5.0,3.0,1.0,0
20821000,5.0,3.0,1.0,0
21817000,5.0,3.0,1.0,0
22813000,5.0,3.0,1.0,0
22853000,5.0,3.0,1.0,0
49557000,5.0,3.0,1.0,0
49577000,5.0,3.0,1.0,0
50557000,5.0,3.0,1.0,0
51529000,5.0,3.0,1.0,0
52561000,5.0,3.0,1.0,0
53549000,5.0,3.0,1.0,0
54549000,5.0,3.0,1.0,0
