timestamp,main_state_changes,main_state
34877672,2,7
35383653,2,7
35889646,2,7
36395647,2,7
36901634,2,7
37407647,2,7
37869676,2,7
37880667,2,7
38386654,2,7
38892666,2,7
38903654,2,7
39410633,2,7
39916632,2,7
40422670,2,7
40928635,2,7
41434649,2,7
41940654,2,7
42446633,2,7
42952648,2,7
43458659,2,7
43898701,2,7
43909647,2,7
43920772,2,7
44426636,2,7
44932666,2,7
45438664,2,7
45944633,2,7
46450630,2,7
46923685,2,7
46934675,2,7
47440634,2,7
47946647,2,7
48452851,2,7
48958633,2,7
49464632,2,7
49970690,2,7
50476637,2,7
50982656,2,7
51488637,2,7
51939745,3,11
52445636,3,11
52951632,3,11
53457647,3,11
53963720,3,11
54469633,3,11
54975656,3,11
55481639,3,11
55987649,3,11
56493647,3,11
56548704,3,11
56957743,3,11
57454080,3,11
