timestamp,saturation_status
998000,1529
2002000,1529
3005000,1529
4002000,1533
5001000,1533
6005000,1533
7002000,1533
8005000,1533
9001000,1533
10002000,1533
11001000,1533
12000000,1533
13004000,1533
13994000,1533
15001000,1533
16002000,1533
17005000,1529
18002000,1533
19002000,1533
20005000,1533
21002000,1529
22001000,1
23004000,1
24000000,1
25002000,1
26002000,1
27001000,1
28001000,1
29002000,1
29998000,1
31000000,1
32001000,1
33001000,1
34004000,1
35001000,1
36000000,1
37005000,1
38002000,1
39000000,1
40002000,1
41001000,1
42002000,1
43002000,1
44001000,1
45002000,1
46002000,1
47001000,1
48001000,1
49000000,1
50006000,1
51000000,1
52002000,1533
53002000,1533
53994000,1533
