timestamp,mag_inconsistency_angle
500000,0.0
1000000,0.0
1500000,0.0
2000000,0.0
2503000,0.0
3000000,0.0
3500000,0.0
3994000,0.0
4504000,0.0
5002000,0.0
5503000,0.0
6000000,0.0
6502000,0.0
7002000,0.0
7502000,0.0
7992000,0.0
8504000,0.0
9003000,0.0
9495000,0.0
10000000,0.0
10508000,0.0
11008000,0.0
11501000,0.0
12001000,0.0
12501000,0.0
13002000,0.0
13504000,0.0
14000000,0.0
14504000,0.0
15004000,0.0
15500000,0.0
16000000,0.0
16491000,0.0
17004000,0.0
17504000,0.0
18004000,0.0
18502000,0.0
19004000,0.0
19268000,0.0
45210000,0.0
45217000,0.0
45704000,7.275896e-09
