timestamp,main_state_changes,main_state
89242712,2,7
89748691,2,7
90254737,2,7
90760721,2,7
91266670,2,7
91772688,2,7
92245709,2,7
92751685,2,7
93257726,2,7
93763747,2,7
94269763,2,7
94775870,2,7
95281670,2,7
95787694,2,7
96293698,2,7
96799670,2,7
97305686,2,7
97811685,2,7
98262690,2,7
98273732,2,7
98284684,2,7
98790749,2,7
99296904,2,7
99802671,2,7
100308688,2,7
100814670,2,7
101320815,2,7
101826685,2,7
102332672,2,7
102838668,2,7
103344803,2,7
103850684,2,7
104356682,2,7
104862685,2,7
105368673,2,7
105874682,2,7
106380684,2,7
106886748,2,7
107392683,2,7
107898669,2,7
108404684,2,7
108910668,2,7
109416699,2,7
109922670,2,7
110428672,2,7
110934709,2,7
111440671,2,7
111946722,2,7
112452700,2,7
112958687,2,7
113464671,2,7
113970669,2,7
114476667,2,7
114982668,2,7
115488685,2,7
115994715,2,7
116500767,2,7
117006818,2,7
117512741,2,7
118018684,2,7
118283032,3,11
118293700,3,11
118304687,3,11
118810670,3,11
119316667,3,11
119822711,3,11
120328671,3,11
120834669,3,11
121340793,3,11
121846722,3,11
122352676,3,11
122858886,3,11
123266280,3,11
123299714,3,11
123795827,3,11
