timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
200000,0.0,0.0,0.0,0.0
396000,0.0,0.0,0.0,0.0
596000,0.0,0.0,0.0,0.0
800000,0.0,0.0,0.0,0.0
1000000,0.0,0.0,0.0,0.0
1200000,0.0,0.0,0.0,0.0
1400000,0.0,0.0,0.0,0.0
1596000,0.0,0.0,0.0,0.0
1804000,0.0,0.0,0.0,0.0
2000000,0.0,0.0,0.0,0.0
2200000,0.0,0.0,0.0,0.0
2400000,0.0,0.0,0.0,0.0
2600000,0.0,0.0,0.0,0.0
2801000,0.0,0.0,0.0,0.0
3000000,0.0,0.0,0.0,0.0
3200000,0.0,0.0,0.0,0.0
3404000,0.0,0.0,0.0,0.0
3600000,0.0,0.0,0.0,0.0
3800000,0.0,0.0,0.0,0.0
3996000,0.0,0.0,0.0,0.0
4200000,0.0,0.0,0.0,0.0
4400000,0.0,0.0,0.0,0.0
4600000,0.0,0.0,0.0,0.0
4800000,0.0,0.0,0.0,0.0
5040000,0.0,0.0,0.0,0.0
5200000,0.0,0.0,0.0,0.0
5400000,0.0,0.0,0.0,0.0
5604000,0.0,0.0,0.0,0.0
5796000,0.0,0.0,0.0,0.0
5996000,0.0,0.0,0.0,0.0
6200000,0.0,0.0,0.0,0.0
6400000,0.0,0.0,0.0,0.0
6600000,0.0,0.0,0.0,0.0
6800000,0.0,0.0,0.0,0.0
7000000,0.0,0.0,0.0,0.0
7200000,0.0,0.0,0.0,0.0
7404000,0.0,0.0,0.0,0.0
7605000,0.0,0.0,0.0,0.0
7804000,0.0,0.0,0.0,0.0
8000000,0.0,0.0,0.0,0.0
8204000,0.0,0.0,0.0,0.0
8400000,0.0,0.0,0.0,0.0
8600000,0.0,0.0,0.0,0.0
8796000,0.0,0.0,0.0,0.0
9000000,0.0,0.0,0.0,0.0
9200000,0.0,0.0,0.0,0.0
9404000,0.0,0.0,0.0,0.0
9600000,0.0,0.0,0.0,0.0
9804000,0.0,0.0,0.0,0.0
10000000,0.0,0.0,0.0,0.0
10196000,0.0,0.0,0.0,0.0
10404000,0.0,0.0,0.0,0.0
10596000,0.0,0.0,0.0,0.0
10797000,0.0,0.0,0.0,0.0
11000000,0.0,0.0,0.0,0.0
11200000,0.0,0.0,0.0,0.0
11400000,0.0,0.0,0.0,0.0
11600000,0.0,0.0,0.0,0.0
11800000,0.0,0.0,0.0,0.0
12000000,0.0,0.0,0.0,0.0
12204000,0.0,0.0,0.0,0.0
12400000,0.0,0.0,0.0,0.0
12592000,0.0,0.0,0.0,0.0
12805000,0.0,0.0,0.0,0.0
13000000,0.0,0.0,0.0,0.0
13196000,0.0,0.0,0.0,0.0
13396000,0.0,0.0,0.0,0.0
13604000,0.0,0.0,0.0,0.0
13797000,0.0,0.0,0.0,0.0
13996000,0.0,0.0,0.0,0.0
14200000,0.0,0.0,0.0,0.0
14404000,0.0,0.0,0.0,0.0
14596000,0.0,0.0,0.0,0.0
14804000,0.0,0.0,0.0,0.0
15000000,0.0,0.0,0.0,0.0
15196000,0.0,0.0,0.0,0.0
15400000,0.0,0.0,0.0,0.0
15600000,0.0,0.0,0.0,0.0
15800000,0.0,0.0,0.0,0.0
16004000,0.0,0.0,0.0,0.0
16200000,0.0,0.0,0.0,0.0
16400000,0.0,0.0,0.0,0.0
16600000,0.0,0.0,0.0,0.0
16800000,0.0,0.0,0.0,0.0
17000000,0.0,0.0,0.0,0.0
17193000,0.0,0.0,0.0,0.0
17396000,0.0,0.0,0.0,0.0
17600000,0.0,0.0,0.0,0.0
17796000,0.0,0.0,0.0,0.0
18000000,0.0,0.0,0.0,0.0
18200000,0.0,0.0,0.0,0.0
18401000,0.0,0.0,0.0,0.0
18604000,0.0,0.0,0.0,0.0
18796000,0.0,0.0,0.0,0.0
19004000,0.0,0.0,0.0,0.0
19200000,0.0,0.0,0.0,0.0
19400000,0.0,0.0,0.0,0.0
19596000,0.0,0.0,0.0,0.0
19800000,0.0,0.0,0.0,0.0
20000000,0.0,0.0,0.0,0.0
20200000,0.0,0.0,0.0,0.0
20400000,0.0,0.0,0.0,0.0
20596000,0.0,0.0,0.0,0.0
20800000,0.0,0.0,0.0,0.0
21000000,0.0,0.0,0.0,0.0
21200000,0.0,0.0,0.0,0.0
21400000,0.0,0.0,0.0,0.0
21600000,0.0,0.0,0.0,0.0
21804000,0.0,0.0,0.0,0.0
22000000,0.0,0.0,0.0,0.0
22196000,0.0,0.0,0.0,0.0
22400000,0.0,0.0,0.0,0.0
22596000,0.0,0.0,0.0,0.0
22800000,0.0,0.0,0.0,0.0
23001000,0.0,0.0,0.0,0.0
23200000,0.0,0.0,0.0,0.0
23401000,0.0,0.0,0.0,0.0
23601000,0.0,0.0,0.0,0.0
23802000,0.0,0.0,0.0,0.0
24001000,0.0,0.0,0.0,0.0
24202000,0.0,0.0,0.0,0.0
24402000,0.0,0.0,0.0,0.0
24601000,0.0,0.0,0.0,0.0
24801000,0.0,0.0,0.0,0.0
24994000,0.0,0.0,0.0,0.0
25205000,0.0,0.0,0.0,0.0
25401000,0.0,0.0,0.0,0.0
25601000,0.0,0.0,0.0,0.0
25801000,0.0,0.0,0.0,0.0
26005000,0.0,0.0,0.0,0.0
26197000,0.0,0.0,0.0,0.0
26406000,0.0,0.0,0.0,0.0
26601000,0.0,0.0,0.0,0.0
26801000,0.0,0.0,0.0,0.0
27002000,0.0,0.0,0.0,0.0
27198000,0.0,0.0,0.0,0.0
27398000,0.0,0.0,0.0,0.0
27597000,0.0,0.0,0.0,0.0
27805000,0.0,0.0,0.0,0.0
28002000,0.0,0.0,0.0,0.0
28206000,0.0,0.0,0.0,0.0
