timestamp,param5,param6,param1,param2,param3,param4,param7,command,target_system,target_component,source_system,source_component,confirmation,from_external
13936000,0.0,0.0,33.0,4.0,3.0,0.0,0.0,176,2,0,0,0,0,1
14656000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,2,0,0,0,0,1
14764000,0.0,0.0,33.0,6.0,0.0,0.0,0.0,176,2,0,0,0,0,1
14872000,0.0,0.0,33.0,6.0,0.0,0.0,0.0,176,2,0,0,0,0,1
15380000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,2,0,0,0,0,1
15380000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,2,0,0,0,0,1
15380000,0.0,0.0,2.0,1.0,0.0,0.0,666.0,183,2,0,0,0,0,1
16408000,-1.0,0.0,2.0,3.0,-0.020459536,-0.023196427,666.0,183,2,0,0,0,0,1
21428000,0.0,0.0,2.0,3.0,0.0,0.0,777.0,183,2,0,0,0,0,1
21444000,0.0,0.0,2.0,6.0,0.0,0.0,666.0,183,2,0,0,0,0,1
26448000,0.0,0.0,2.0,6.0,0.0,0.0,777.0,183,2,0,0,0,0,1
26477000,0.0,0.0,2.0,8.0,0.0,0.0,666.0,183,2,0,0,0,0,1
36488000,0.0,0.0,2.0,8.0,0.0,0.0,777.0,183,2,0,0,0,0,1
36501000,40.154029846191406,116.259521484375,0.0,0.0,0.0,0.0,49.893,21,2,0,0,0,0,1
36501000,0.0,0.0,2.0,7.0,0.0,0.0,666.0,183,2,0,0,0,0,1
41516000,0.0,0.0,2.0,7.0,0.0,0.0,777.0,183,2,0,0,0,0,1
