timestamp,mag_inconsistency_angle
496000,0.0
1000000,0.0
1500000,0.0
2004000,0.0
2500000,0.0
3004000,0.0
3504000,0.0
4000000,0.0
4500000,0.0
5000000,0.0
5504000,0.0
6004000,0.0
6500000,0.0
7000000,0.0
7504000,0.0
8003000,0.0
8497000,0.0
9000000,0.0
9500000,0.0
10000000,0.0
10504000,0.0
11003000,0.0
11500000,0.0
12003000,0.0
12500000,0.0
13000000,0.0
13504000,0.0
14000000,0.0
14500000,0.0
15000000,0.0
15500000,0.0
16004000,0.0
16504000,0.0
16996000,0.0
17500000,0.0
17651000,0.0
44367000,0.0
44376000,0.0
44868000,1.7641621e-10
