timestamp,timestamp_sample,baro_device_id,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
420000,395400,6620172,49.89389,24.675455,100727.164,1.1780171
473000,450000,6620172,49.922062,24.675455,100726.836,1.1780133
525000,503300,6620172,49.917366,24.675455,100726.87,1.1780137
580000,555100,6620172,49.98779,24.675455,100726.04,1.178004
633000,609727,6620172,49.973705,24.675455,100726.23,1.1780062
684000,660800,6620172,49.96901,24.675455,100726.26,1.1780066
737000,712583,6620172,49.90328,24.675455,100727.0,1.1780152
792000,768454,6620172,49.93145,24.675455,100726.72,1.1780119
844000,817909,6620172,49.90328,24.675455,100726.99,1.1780151
897000,872000,6620172,49.964314,24.675455,100726.3,1.178007
949000,925000,6620172,49.917366,24.675455,100726.87,1.1780137
1000000,977800,6620172,49.91267,24.675455,100726.92,1.1780143
1052000,1027545,6620172,49.907974,24.675455,100726.97,1.1780149
1104000,1082454,6620172,49.922062,24.675455,100726.82,1.1780132
1156000,1131181,6620172,49.945534,24.675455,100726.52,1.1780096
1208000,1182666,6620172,49.954926,24.675455,100726.44,1.1780087
1264000,1235833,6620172,49.964314,24.675455,100726.27,1.1780066
1317000,1292545,6620172,49.936146,24.675455,100726.625,1.1780108
1369000,1345800,6620172,49.94084,24.675455,100726.56,1.1780101
1420000,1397909,6620172,49.98779,24.675455,100725.99,1.1780034
1477000,1451272,6620172,49.91267,24.675455,100726.95,1.1780146
1532000,1506363,6620172,49.945534,24.675455,100726.52,1.1780096
1589000,1562090,6620172,49.945534,24.675455,100726.51,1.1780095
1645000,1620400,6620172,49.926754,24.675455,100726.74,1.1780123
1697000,1675272,6620172,49.917366,24.675455,100726.875,1.1780138
1752000,1727500,6620172,49.945534,24.675455,100726.484,1.1780092
1805000,1780900,6620172,49.954926,24.675455,100726.445,1.1780088
1860000,1835636,6620172,49.936146,24.675455,100726.66,1.1780112
1916000,1889300,6620172,49.936146,24.675455,100726.66,1.1780112
1969000,1943909,6620172,49.898586,24.675455,100727.11,1.1780165
2021000,1997454,6620172,49.9784,24.675455,100726.11,1.1780049
2072000,2048000,6620172,49.954926,24.675455,100726.42,1.1780084
2124000,2100500,6620172,49.922062,24.675455,100726.805,1.178013
2176000,2151636,6620172,49.917366,24.675455,100726.875,1.1780138
2229000,2202500,6620172,49.94084,24.675455,100726.57,1.1780102
2284000,2257545,6620172,49.99718,24.675455,100725.92,1.1780026
2337000,2314800,6620172,49.898586,24.675455,100727.086,1.1780162
2388000,2366222,6620172,49.93145,24.675455,100726.69,1.1780117
2444000,2415900,6620172,49.91267,24.675455,100726.914,1.1780142
2496000,2471090,6620172,49.879807,24.675455,100727.305,1.1780188
2548000,2525500,6620172,49.954926,24.675455,100726.41,1.1780082
2600000,2576454,6620172,49.95962,24.675455,100726.35,1.1780076
2656000,2630222,6620172,49.94084,24.675455,100726.59,1.1780105
2709000,2683333,6620172,49.898586,24.675455,100727.1,1.1780164
2761000,2738777,6620172,49.99718,24.675455,100725.94,1.1780028
2813000,2790090,6620172,49.94084,24.675455,100726.58,1.1780102
2868000,2841833,6620172,49.973705,24.675455,100726.23,1.1780062
2920000,2894200,6620172,49.926754,24.675455,100726.74,1.1780123
2972000,2947818,6620172,49.98779,24.675455,100725.984,1.1780033
3024000,2999555,6620172,49.926754,24.675455,100726.76,1.1780125
3077000,3050909,6620172,49.95023,24.675455,100726.47,1.178009
3133000,3106400,6620172,49.936146,24.675455,100726.625,1.1780108
3184000,3161777,6620172,49.922062,24.675455,100726.77,1.1780125
3237000,3212545,6620172,49.936146,24.675455,100726.62,1.1780108
3289000,3266500,6620172,49.898586,24.675455,100727.12,1.1780167
3340000,3318090,6620172,49.96901,24.675455,100726.234,1.1780063
3392000,3368300,6620172,50.00657,24.675455,100725.766,1.1780008
3444000,3420181,6620172,49.964314,24.675455,100726.31,1.1780072
3497000,3470090,6620172,49.898586,24.675455,100727.086,1.1780162
3548000,3526666,6620172,49.95023,24.675455,100726.47,1.178009
3601000,3576916,6620172,49.983097,24.675455,100726.09,1.1780046
3652000,3630909,6620172,49.9784,24.675455,100726.12,1.178005
3704000,3679600,6620172,49.983097,24.675455,100726.086,1.1780045
3756000,3731600,6620172,49.973705,24.675455,100726.19,1.1780058
3808000,3782583,6620172,49.98779,24.675455,100726.02,1.1780038
3860000,3837181,6620172,49.964314,24.675455,100726.33,1.1780074
3912000,3888916,6620172,49.917366,24.675455,100726.875,1.1780138
3964000,3941600,6620172,49.90328,24.675455,100726.99,1.1780151
4017000,3992181,6620172,49.93145,24.675455,100726.69,1.1780117
4067000,4045200,6620172,49.91267,24.675455,100726.914,1.1780142
4117000,4095555,6620172,49.922062,24.675455,100726.8,1.1780128
4168000,4145500,6620172,49.94084,24.675455,100726.59,1.1780105
4224000,4196000,6620172,49.94084,24.675455,100726.57,1.1780102
4277000,4257285,6620172,49.9784,24.675455,100726.13,1.1780051
4332000,4306416,6620172,49.922062,24.675455,100726.78,1.1780126
4385000,4360000,6620172,49.973705,24.675455,100726.19,1.1780058
4437000,4414900,6620172,49.861027,24.675455,100727.54,1.1780216
4489000,4464800,6620172,49.96901,24.675455,100726.266,1.1780066
4539000,4516700,6620172,49.94084,24.675455,100726.56,1.1780101
4592000,4567100,6620172,49.95023,24.675455,100726.48,1.1780092
4644000,4618333,6620172,49.936146,24.675455,100726.64,1.1780111
4695000,4669454,6620172,49.89389,24.675455,100727.164,1.1780171
4748000,4723181,6620172,49.936146,24.675455,100726.66,1.1780112
4805000,4777000,6620172,49.973705,24.675455,100726.2,1.1780059
4856000,4833666,6620172,49.992485,24.675455,100725.97,1.1780032
4912000,4886363,6620172,49.917366,24.675455,100726.86,1.1780136
4964000,4939200,6620172,49.926754,24.675455,100726.74,1.1780123
5017000,4993363,6620172,49.926754,24.675455,100726.75,1.1780124
5068000,5045000,6620172,49.922062,24.675455,100726.83,1.1780132
5124000,5096777,6620172,49.94084,24.675455,100726.55,1.17801
5195000,5153857,6620172,49.95962,24.675455,100726.375,1.178008
5249000,5223090,6620172,49.936146,24.675455,100726.62,1.1780108
5300000,5279900,6620172,49.9784,24.675455,100726.16,1.1780053
5353000,5328272,6620172,49.983097,24.675455,100726.1,1.1780047
5409000,5381636,6620172,49.93145,24.675455,100726.7,1.1780118
5461000,5440200,6620172,49.94084,24.675455,100726.56,1.1780101
5513000,5490444,6620172,49.95962,24.675455,100726.37,1.1780078
5564000,5543800,6620172,49.85633,24.675455,100727.555,1.1780218
5616000,5592700,6620172,49.98779,24.675455,100726.01,1.1780037
5669000,5644200,6620172,49.922062,24.675455,100726.836,1.1780133
5720000,5699500,6620172,49.89389,24.675455,100727.164,1.1780171
5772000,5745600,6620172,49.907974,24.675455,100726.97,1.1780149
5824000,5800900,6620172,49.936146,24.675455,100726.63,1.178011
5876000,5852636,6620172,49.922062,24.675455,100726.77,1.1780125
5928000,5905000,6620172,49.917366,24.675455,100726.875,1.1780138
5981000,5955700,6620172,49.9784,24.675455,100726.16,1.1780053
6032000,6008800,6620172,49.926754,24.675455,100726.76,1.1780125
6084000,6060111,6620172,49.870415,24.675455,100727.414,1.1780201
6140000,6112818,6620172,49.90328,24.675455,100727.03,1.1780156
6193000,6168100,6620172,49.9784,24.675455,100726.11,1.1780049
6244000,6220000,6620172,49.926754,24.675455,100726.76,1.1780125
6296000,6271100,6620172,49.917366,24.675455,100726.86,1.1780136
6349000,6324272,6620172,49.945534,24.675455,100726.52,1.1780096
6401000,6379666,6620172,49.94084,24.675455,100726.56,1.1780101
6452000,6430000,6620172,49.90328,24.675455,100727.0,1.1780152
6504000,6481300,6620172,49.917366,24.675455,100726.89,1.1780139
6557000,6533600,6620172,49.945534,24.675455,100726.516,1.1780095
6608000,6584545,6620172,49.93145,24.675455,100726.72,1.1780119
6660000,6638363,6620172,49.926754,24.675455,100726.74,1.1780123
6713000,6689083,6620172,49.94084,24.675455,100726.555,1.17801
6764000,6742111,6620172,49.945534,24.675455,100726.49,1.1780093
6816000,6795090,6620172,49.93145,24.675455,100726.734,1.1780121
6872000,6845000,6620172,49.922062,24.675455,100726.805,1.178013
6924000,6898444,6620172,49.98779,24.675455,100726.01,1.1780037
6976000,6952083,6620172,49.95962,24.675455,100726.34,1.1780075
7029000,7002300,6620172,49.91267,24.675455,100726.94,1.1780145
7080000,7059000,6620172,49.93145,24.675455,100726.69,1.1780117
7132000,7108333,6620172,49.945534,24.675455,100726.51,1.1780095
7186000,7160181,6620172,49.95962,24.675455,100726.36,1.1780077
7241000,7215500,6620172,49.983097,24.675455,100726.08,1.1780045
7292000,7270111,6620172,49.922062,24.675455,100726.77,1.1780125
7345000,7319111,6620172,49.87511,24.675455,100727.38,1.1780198
7397000,7375100,6620172,49.973705,24.675455,100726.21,1.1780059
7452000,7426727,6620172,49.926754,24.675455,100726.75,1.1780124
7508000,7479200,6620172,49.898586,24.675455,100727.12,1.1780167
7565000,7537454,6620172,49.91267,24.675455,100726.94,1.1780145
7620000,7595545,6620172,49.91267,24.675455,100726.914,1.1780142
7672000,7648000,6620172,49.86572,24.675455,100727.47,1.1780207
7725000,7697545,6620172,49.95962,24.675455,100726.38,1.1780081
7776000,7753666,6620172,49.964314,24.675455,100726.3,1.178007
7828000,7803600,6620172,49.926754,24.675455,100726.74,1.1780123
7885000,7857300,6620172,49.93145,24.675455,100726.68,1.1780115
7936000,7914111,6620172,49.94084,24.675455,100726.56,1.1780101
7992000,7966166,6620172,49.93145,24.675455,100726.69,1.1780117
8045000,8022200,6620172,49.99718,24.675455,100725.94,1.1780028
8100000,8075800,6620172,49.93145,24.675455,100726.68,1.1780115
8157000,8129181,6620172,49.94084,24.675455,100726.55,1.17801
8209000,8185444,6620172,49.93145,24.675455,100726.734,1.1780121
8261000,8239636,6620172,49.90328,24.675455,100727.03,1.1780156
8312000,8288545,6620172,49.936146,24.675455,100726.64,1.1780111
8364000,8339100,6620172,49.95962,24.675455,100726.37,1.1780078
8416000,8393400,6620172,49.861027,24.675455,100727.54,1.1780216
8468000,8444555,6620172,49.936146,24.675455,100726.66,1.1780112
8524000,8496500,6620172,49.945534,24.675455,100726.484,1.1780092
8577000,8553181,6620172,49.954926,24.675455,100726.43,1.1780086
8628000,8604400,6620172,49.945534,24.675455,100726.53,1.1780097
8684000,8656333,6620172,49.922062,24.675455,100726.78,1.1780126
8737000,8714500,6620172,49.922062,24.675455,100726.77,1.1780125
8788000,8765545,6620172,49.964314,24.675455,100726.31,1.1780072
8840000,8816555,6620172,49.945534,24.675455,100726.53,1.1780097
8892000,8866583,6620172,49.945534,24.675455,100726.516,1.1780095
8948000,8920384,6620172,49.983097,24.675455,100726.05,1.178004
