timestamp,param5,param6,param1,param2,param3,param4,param7,command,target_system,target_component,source_system,source_component,confirmation,from_external
14209000,0.0,0.0,33.0,4.0,3.0,0.0,0.0,176,2,0,0,0,0,1
15088000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,2,0,0,0,0,1
15212000,0.0,0.0,33.0,6.0,0.0,0.0,0.0,176,2,0,0,0,0,1
15332000,0.0,0.0,33.0,6.0,0.0,0.0,0.0,176,2,0,0,0,0,1
15889000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,2,0,0,0,0,1
15940000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,2,0,0,0,0,1
15968000,0.0,0.0,2.0,1.0,0.0,0.0,666.0,183,2,0,0,0,0,1
17083000,-1.0,0.0,2.0,3.0,-0.03501712,-0.036882658,666.0,183,2,0,0,0,0,1
22376000,0.0,0.0,2.0,3.0,0.0,0.0,777.0,183,2,0,0,0,0,1
22481000,0.0,0.0,2.0,6.0,0.0,0.0,666.0,183,2,0,0,0,0,1
27796000,0.0,0.0,2.0,6.0,0.0,0.0,777.0,183,2,0,0,0,0,1
27948000,0.0,0.0,2.0,5.0,0.2,0.0,666.0,183,2,0,0,0,0,1
43156000,0.0,0.0,2.0,5.0,0.0,0.0,777.0,183,2,0,0,0,0,1
43357000,40.154056549072266,116.259521484375,0.0,0.0,0.0,0.0,49.89,21,2,0,0,0,0,1
43373000,0.0,0.0,2.0,7.0,0.0,0.0,666.0,183,2,0,0,0,0,1
48701000,0.0,0.0,2.0,7.0,0.0,0.0,777.0,183,2,0,0,0,0,1
