timestamp,mag_inconsistency_angle
500000,0.0
1000000,0.0
1500000,0.0
2000000,0.0
2501000,0.0
3000000,0.0
3501000,0.0
4000000,0.0
4500000,0.0
5005000,0.0
5501000,0.0
6005000,0.0
6500000,0.0
7000000,0.0
7500000,0.0
8004000,0.0
8500000,0.0
9001000,0.0
9504000,0.0
10000000,0.0
10500000,0.0
11004000,0.0
11501000,0.0
12004000,0.0
12501000,0.0
13000000,0.0
13500000,0.0
14001000,0.0
14496000,0.0
15000000,0.0
15504000,0.0
16000000,0.0
16503000,0.0
16997000,0.0
17261000,0.0
50632000,0.0
50636000,0.0
51136000,9.861308e-11
