timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,samples
960000,960000,1311004,0.0,0.0,0.0,24.675455,0,1
1968000,1968000,1311004,0.0,0.0,0.0,24.675455,0,1
2959000,2959000,1311004,0.0,0.0,0.0,24.675455,0,1
3971000,3971000,1311004,0.0,0.0,0.0,24.675455,0,1
4967000,4967000,1311004,0.0,0.0,0.0,24.675455,0,1
5968000,5968000,1311004,0.0,0.0,0.0,24.675455,0,1
6971000,6971000,1311004,0.0,0.0,0.0,24.675455,0,1
7968000,7968000,1311004,0.0,0.0,0.0,24.675455,0,1
8964000,8964000,1311004,0.0,0.0,0.0,24.675455,0,1
9963000,9963000,1311004,0.0,0.0,0.0,24.675455,0,1
10958000,10958000,1311004,0.0,0.0,0.0,24.675455,0,1
11963000,11963000,1311004,0.0,0.0,0.0,24.675455,0,1
12960000,12960000,1311004,0.0,0.0,0.0,24.675455,0,1
13956000,13956000,1311004,0.0,0.0,0.0,24.675455,0,1
14967000,14967000,1311004,0.0,0.0,0.0,24.675455,0,1
15966000,15966000,1311004,0.0,0.0,0.0,24.675455,0,1
16964000,16964000,1311004,0.0,0.0,0.0,24.675455,0,1
17964000,17964000,1311004,0.0,0.0,0.0,24.675455,0,1
18964000,18964000,1311004,-0.0012042505,-0.0027500552,0.0002463692,24.675457,0,1
19968000,19968000,1311004,0.030742014,0.079947315,0.0026801683,24.675457,0,1
20967000,20967000,1311004,-0.0007861728,-0.0061389375,0.0023699768,24.673908,0,1
21968000,21968000,1311004,0.0052373623,0.013030713,-0.0018812487,24.672235,0,1
22968000,22968000,1311004,-0.03460766,-0.010834429,-0.0007826382,24.671541,0,1
23964000,23964000,1311004,-0.010168993,0.0066049243,-0.0010937921,24.671013,0,1
24963000,24963000,1311004,-0.010197599,0.007017963,-0.0005106376,24.6712,0,1
25967000,25967000,1311004,0.017957212,-0.0017852912,-0.0010351387,24.670885,0,1
26968000,26968000,1311004,-0.0073923348,0.007441112,0.0008370501,24.670704,0,1
27964000,27964000,1311004,0.0059233615,-0.0029666235,0.00091677054,24.67064,0,1
28968000,28968000,1311004,0.0024419327,0.0036468406,0.0010379102,24.670689,0,1
29964000,29964000,1311004,0.010515838,0.0011415755,0.00065209874,24.670813,0,1
30960000,30960000,1311004,-0.011030226,0.004737093,0.000876616,24.670868,0,1
31972000,31972000,1311004,0.000752597,-0.0005023187,0.00046091276,24.6708,0,1
32961000,32961000,1311004,0.00072477467,-0.0097990995,0.00041426264,24.67074,0,1
33968000,33968000,1311004,-0.008161085,0.0030775538,-1.2512301e-05,24.6706,0,1
34968000,34968000,1311004,-0.00542412,0.008248672,6.871599e-05,24.670614,0,1
35960000,35960000,1311004,-0.006219891,0.0047990507,1.7129572e-05,24.670704,0,1
36975000,36975000,1311004,-0.0014887697,0.0055791563,1.8584797e-05,24.67077,0,1
37960000,37960000,1311004,-0.0063863616,-0.010340922,-0.0001420712,24.670872,0,1
38964000,38964000,1311004,0.008191124,0.0096950615,0.00027628726,24.674194,0,1
39968000,39968000,1311004,-0.0025094782,-0.0017627272,2.4639641e-05,24.675484,0,1
40964000,40964000,1311004,-0.0024865943,-0.0011744221,7.582681e-07,24.675467,0,1
41960000,41960000,1311004,-0.00032759816,-0.00015453289,1.29766855e-08,24.675472,0,1
42964000,42964000,1311004,-4.2450138e-05,-1.9996442e-05,2.17587e-10,24.675472,0,1
