timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
9521000,0.0,-0.0,-0.0041451096,0.0,0.99999785,0.0,-0.0,-0.0020725534,0.0,0.0,-0.0,0,0,0,0,0
9570000,0.0,-0.0,-0.004143754,0.0,0.99999785,0.0,-0.0,-0.0020718756,0.0,0.0,-0.0,0,0,0,0,0
9620000,0.0,-0.0,-0.0041425354,0.0,0.99999785,0.0,-0.0,-0.0020712663,0.0,0.0,-0.0,0,0,0,0,0
9675000,0.0,-0.0,-0.0041412828,0.0,0.99999785,0.0,-0.0,-0.00207064,0.0,0.0,-0.0,0,0,0,0,0
9720000,0.0,-0.0,-0.0041403556,0.0,0.99999785,0.0,-0.0,-0.0020701764,0.0,0.0,-0.0,0,0,0,0,0
9764000,0.0,-0.0,-0.0041391198,0.0,0.99999785,0.0,-0.0,-0.0020695585,0.0,0.0,-0.0,0,0,0,0,0
9821000,0.0,-0.0,-0.0041376953,0.0,0.99999785,0.0,-0.0,-0.0020688463,0.0,0.0,-0.0,0,0,0,0,0
9868000,0.0,-0.0,-0.004136303,0.0,0.99999785,0.0,-0.0,-0.00206815,0.0,0.0,-0.0,0,0,0,0,0
9922000,0.0,-0.0,-0.0041348925,0.0,0.99999785,0.0,-0.0,-0.0020674448,0.0,0.0,-0.0,0,0,0,0,0
9977000,0.0,-0.0,-0.004133581,0.0,0.99999785,0.0,-0.0,-0.0020667892,0.0,0.0,-0.0,0,0,0,0,0
10017000,0.0,-0.0,-0.004132593,0.0,0.99999785,0.0,-0.0,-0.0020662951,0.0,0.0,-0.0,0,0,0,0,0
10077000,0.0,-0.0,-0.004131288,0.0,0.99999785,0.0,-0.0,-0.0020656425,0.0,0.0,-0.0,0,0,0,0,0
10116000,0.0,-0.0,-0.00413045,0.0,0.99999785,0.0,-0.0,-0.0020652236,0.0,0.0,-0.0,0,0,0,0,0
10172000,0.0,-0.0,-0.0041296436,0.0,0.99999785,0.0,-0.0,-0.0020648204,0.0,0.0,-0.0,0,0,0,0,0
10220000,0.0,-0.0,-0.0041285614,0.0,0.99999785,0.0,-0.0,-0.0020642793,0.0,0.0,-0.0,0,0,0,0,0
10269000,0.0,-0.0,-0.004127761,0.0,0.99999785,0.0,-0.0,-0.002063879,0.0,0.0,-0.0,0,0,0,0,0
10325000,0.0,-0.0,-0.0041276845,0.0,0.99999785,0.0,-0.0,-0.0020638409,0.0,0.0,-0.0,0,0,0,0,0
