timestamp,last_instance_change,instance_changed_count,accel_device_id,baro_device_id,gyro_device_id,mag_device_id,combined_test_ratio[0],combined_test_ratio[1],combined_test_ratio[2],combined_test_ratio[3],combined_test_ratio[4],combined_test_ratio[5],combined_test_ratio[6],combined_test_ratio[7],combined_test_ratio[8],relative_test_ratio[0],relative_test_ratio[1],relative_test_ratio[2],relative_test_ratio[3],relative_test_ratio[4],relative_test_ratio[5],relative_test_ratio[6],relative_test_ratio[7],relative_test_ratio[8],accumulated_gyro_error[0],accumulated_gyro_error[1],accumulated_gyro_error[2],accumulated_gyro_error[3],accumulated_accel_error[0],accumulated_accel_error[1],accumulated_accel_error[2],accumulated_accel_error[3],primary_instance,instances_available,healthy[0],healthy[1],healthy[2],healthy[3],healthy[4],healthy[5],healthy[6],healthy[7],healthy[8],gyro_fault_detected,accel_fault_detected
15840000,704000,1,1310988,6620172,1310988,197388,0.04555717,0.045630526,0.045647237,0.04559707,0.045635223,0.045635946,nan,nan,nan,0.0,0.10243142,0.17309314,1.0,0.17808412,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
16848000,704000,1,1310988,6620172,1310988,197388,0.0191343,0.019150022,0.019150969,0.04147702,0.041435063,0.019146899,nan,nan,nan,0.0,0.10415265,0.17531177,1.0,0.20155947,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
17851000,704000,1,1310988,6620172,1310988,197388,0.042066544,0.029500589,0.042002983,0.029497283,0.029501885,0.04202531,nan,nan,nan,0.0,0.10454852,0.1890664,1.0,0.2103126,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
18853000,704000,1,1310988,6620172,1310988,197388,0.045865007,0.04586027,0.045826882,0.045837015,0.045841757,0.045859545,nan,nan,nan,0.0,0.11402782,0.2024518,1.0,0.2328772,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
19861000,704000,1,1310988,6620172,1310988,197388,0.018224912,0.01666978,0.010110503,0.018193064,0.012701025,0.016668798,nan,nan,nan,0.0,0.12913404,0.2146064,1.0,0.24647848,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
20869000,704000,1,1310988,6620172,1310988,197388,0.047262274,0.045049157,0.047173962,0.044209212,0.04734035,0.045047216,nan,nan,nan,0.0,0.20005175,0.23397836,1.0,0.27855495,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
21876000,704000,1,1310988,6620172,1310988,197388,0.032379046,0.03405185,0.03396648,0.03251317,0.03408616,0.03404972,nan,nan,nan,0.0,0.34233153,0.29383767,1.0,0.38960496,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
22880000,704000,1,1310988,6620172,1310988,197388,0.014352642,0.015631132,0.015597266,0.014450629,0.015663177,0.015626116,nan,nan,nan,0.0,0.40940318,0.3410195,1.0,0.4541078,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
23885000,704000,1,1310988,6620172,1310988,197388,0.018885165,0.019396445,0.019387575,0.018876173,0.019426763,0.01938003,nan,nan,nan,0.0,0.46572912,0.41267395,1.0,0.5305605,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
24892000,704000,1,1310988,6620172,1310988,197388,0.029909935,0.029712684,0.029673362,0.029907381,0.02972664,0.029711423,nan,nan,nan,0.0,0.49957162,0.45053923,1.0,0.56794,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
