timestamp,saturation_status
1003000,1529
2001000,1529
3004000,1529
4004000,1533
5000000,1533
6005000,1533
7000000,1533
8004000,1533
9009000,1533
10000000,1533
11000000,1533
12001000,1533
13001000,1533
13998000,1533
15000000,1533
16003000,1533
17005000,1533
18001000,1533
19004000,1
20003000,1
21000000,1
22003000,1
23001000,1
24001000,1
25003000,1
26000000,1
27004000,1
28005000,1
29004000,1
30001000,1
31001000,1
32000000,1
33000000,1
34005000,1
34996000,1
36000000,1
37000000,1533
38004000,1533
39004000,1529
