timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
328129394,0.0,0.0,0.0,0.0
328130863,0.0,0.0,0.0,0.0
328150350,0.0,0.0,0.0,0.0
328169839,0.0,0.0,0.0,0.0
328189337,0.0,0.0,0.0,0.0
328210326,0.0,0.0,0.0,0.0
328229820,0.0,0.0,0.0,0.0
328250818,0.0,0.0,0.0,0.0
328270307,0.0,0.0,0.0,0.0
328289803,0.0,0.0,0.0,0.0
328310801,0.0,0.0,0.0,0.0
328330288,0.0,0.0,0.0,0.0
328349781,0.0,0.0,0.0,0.0
328370779,0.0,0.0,0.0,0.0
328390266,0.0,0.0,0.0,0.0
328409762,0.0,0.0,0.0,0.0
328430766,0.0,0.0,0.0,0.0
328450251,0.0,0.0,0.0,0.0
328469741,0.0,0.0,0.0,0.0
328490739,0.0,0.0,0.0,0.0
328510227,0.0,0.0,0.0,0.0
328529719,0.0,0.0,0.0,0.0
328550720,0.0,0.0,0.0,0.0
328570205,0.0,0.0,0.0,0.0
328589703,0.0,0.0,0.0,0.0
328610697,0.0,0.0,0.0,0.0
328630184,0.0,0.0,0.0,0.0
328649683,0.0,0.0,0.0,0.0
328670673,0.0,0.0,0.0,0.0
328690164,0.0,0.0,0.0,0.0
328709664,0.0,0.0,0.0,0.0
328730654,0.0,0.0,0.0,0.0
328750148,0.0,0.0,0.0,0.0
328769644,0.0,0.0,0.0,0.0
328790631,0.0,0.0,0.0,0.0
328810127,0.0,0.0,0.0,0.0
328829617,0.0,0.0,0.0,0.0
328850617,0.0,0.0,0.0,0.0
328870107,0.0,0.0,0.0,0.0
328889598,0.0,0.0,0.0,0.0
328910591,0.0,0.0,0.0,0.0
328930083,0.0,0.0,0.0,0.0
328949581,0.0,0.0,0.0,0.0
328970568,0.0,0.0,0.0,0.0
328990066,0.0,0.0,0.0,0.0
329009556,0.0,0.0,0.0,0.0
329030549,0.0,0.0,0.0,0.0
329050045,0.0,0.0,0.0,0.0
329069539,0.0,0.0,0.0,0.0
329090527,0.0,0.0,0.0,0.0
329110027,0.0,0.0,0.0,0.0
329129517,0.0,0.0,0.0,0.0
329150507,0.0,0.0,0.0,0.0
329170003,0.0,0.0,0.0,0.0
329189498,0.0,0.0,0.0,0.0
329210490,0.0,0.0,0.0,0.0
329229987,0.0,0.0,0.0,0.0
329249475,0.0,0.0,0.0,0.0
329270472,0.0,0.0,0.0,0.0
329289962,0.0,0.0,0.0,0.0
329309455,0.0,0.0,0.0,0.0
329330446,0.0,0.0,0.0,0.0
329349946,0.0,0.0,0.0,0.0
329369435,0.0,0.0,0.0,0.0
329390426,0.0,0.0,0.0,0.0
329409929,0.0,0.0,0.0,0.0
329429418,0.0,0.0,0.0,0.0
329450427,0.0,0.0,0.0,0.0
329469901,0.0,0.0,0.0,0.0
329489393,0.0,0.0,0.0,0.0
329510393,0.0,0.0,0.0,0.0
329529883,0.0,0.0,0.0,0.0
329549376,0.0,0.0,0.0,0.0
329570369,0.0,0.0,0.0,0.0
329589861,0.0,0.0,0.0,0.0
329609353,0.0,0.0,0.0,0.0
329630350,0.0,0.0,0.0,0.0
329649841,0.0,0.0,0.0,0.0
329669344,0.0,0.0,0.0,0.0
329690330,0.0,0.0,0.0,0.0
329709821,0.0,0.0,0.0,0.0
329729317,0.0,0.0,0.0,0.0
329750310,0.0,0.0,0.0,0.0
329769801,0.0,0.0,0.0,0.0
329789298,0.0,0.0,0.0,0.0
329810287,0.0,0.0,0.0,0.0
329829779,0.0,0.0,0.0,0.0
329849275,0.0,0.0,0.0,0.0
329870273,0.0,0.0,0.0,0.0
329889762,0.0,0.0,0.0,0.0
329910805,0.0,0.0,0.0,0.0
329930248,0.0,0.0,0.0,0.0
329949746,0.0,0.0,0.0,0.0
329970782,0.0,0.0,0.0,0.0
329990226,0.0,0.0,0.0,0.0
330009718,0.0,0.0,0.0,0.0
330030766,0.0,0.0,0.0,0.0
330050207,0.0,0.0,0.0,0.0
330069700,0.0,0.0,0.0,0.0
330090748,0.0,0.0,0.0,0.0
330110186,0.0,0.0,0.0,0.0
330129700,0.0,0.0,0.0,0.0
330150721,0.0,0.0,0.0,0.0
330170168,0.0,0.0,0.0,0.0
330189664,0.0,0.0,0.0,0.0
330210705,0.0,0.0,0.0,0.0
330230146,0.0,0.0,0.0,0.0
330249641,0.0,0.0,0.0,0.0
330270685,0.0,0.0,0.0,0.0
330290127,0.0,0.0,0.0,0.0
330309622,0.0,0.0,0.0,0.0
330330664,0.0,0.0,0.0,0.0
330350106,0.0,0.0,0.0,0.0
330369604,0.0,0.0,0.0,0.0
330390644,0.0,0.0,0.0,0.0
330410091,0.0,0.0,0.0,0.0
330429586,0.0,0.0,0.0,0.0
330450624,0.0,0.0,0.0,0.0
330470069,0.0,0.0,0.0,0.0
330489561,0.0,0.0,0.0,0.0
330510601,0.0,0.0,0.0,0.0
330530045,0.0,0.0,0.0,0.0
330549545,0.0,0.0,0.0,0.0
330570578,0.0,0.0,0.0,0.0
330590028,0.0,0.0,0.0,0.0
330609522,0.0,0.0,0.0,0.0
330630559,0.0,0.0,0.0,0.0
330650010,0.0,0.0,0.0,0.0
330669503,0.0,0.0,0.0,0.0
330690544,0.0,0.0,0.0,0.0
330709992,0.0,0.0,0.0,0.0
330729479,0.0,0.0,0.0,0.0
330750521,0.0,0.0,0.0,0.0
330769970,0.0,0.0,0.0,0.0
330789459,0.0,0.0,0.0,0.0
330810499,0.0,0.0,0.0,0.0
330829945,0.0,0.0,0.0,0.0
330849438,0.0,0.0,0.0,0.0
330870478,0.0,0.0,0.0,0.0
330889929,0.0,0.0,0.0,0.0
330909418,0.0,0.0,0.0,0.0
330930458,0.0,0.0,0.0,0.0
330949903,0.0,0.0,0.0,0.0
330969402,0.0,0.0,0.0,0.0
330990437,0.0,0.0,0.0,0.0
331009888,0.0,0.0,0.0,0.0
331029382,0.0,0.0,0.0,0.0
331050440,0.0,0.0,0.0,0.0
331069869,0.0,0.0,0.0,0.0
331089358,0.0,0.0,0.0,0.0
331110400,0.0,0.0,0.0,0.0
331129848,0.0,0.0,0.0,0.0
331149341,0.0,0.0,0.0,0.0
331170379,0.0,0.0,0.0,0.0
331189828,0.0,0.0,0.0,0.0
331209319,0.0,0.0,0.0,0.0
331230359,0.0,0.0,0.0,0.0
331249804,0.0,0.0,0.0,0.0
331270801,0.0,0.0,0.0,0.0
331290339,0.0,0.0,0.0,0.0
331309782,0.0,0.0,0.0,0.0
331330781,0.0,0.0,0.0,0.0
331350322,0.0,0.0,0.0,0.0
331369763,0.0,0.0,0.0,0.0
331390762,0.0,0.0,0.0,0.0
331410300,0.0,0.0,0.0,0.0
331429743,0.0,0.0,0.0,0.0
331450751,0.0,0.0,0.0,0.0
331470280,0.0,0.0,0.0,0.0
331489727,0.0,0.0,0.0,0.0
331510718,0.0,0.0,0.0,0.0
331530258,0.0,0.0,0.0,0.0
331549701,0.0,0.0,0.0,0.0
331570701,0.0,0.0,0.0,0.0
331590241,0.0,0.0,0.0,0.0
331609682,0.0,0.0,0.0,0.0
331630675,0.0,0.0,0.0,0.0
331650218,0.0,0.0,0.0,0.0
331669671,0.0,0.0,0.0,0.0
331690659,0.0,0.0,0.0,0.0
