timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping,calibration_count
25503000,25503000,1310988,1310988,0.000113716975,-7.270429e-05,2.1734198e-11,0.0,1.2074685e-09,-0.06918285,7000,7000,0,0
26000000,26000000,1310988,1310988,3.1957934e-05,-1.438107e-05,-4.5064542e-12,0.0,1.0097756e-09,-0.05785588,6000,6000,0,0
26504000,26504000,1310988,1310988,5.9654816e-05,-0.00019387814,3.765764e-11,0.0,1.3828056e-09,-0.07922893,8000,8000,0,0
27000000,27000000,1310988,1310988,-5.3263225e-06,7.7764314e-05,-1.8406993e-11,0.0,6.8429906e-10,-0.039207447,4000,4000,0,0
27500000,27500000,1310988,1310988,4.261058e-05,-1.7044234e-05,4.261058e-06,0.0,6.846334e-10,-0.039226606,4000,4000,0,0
28000000,28000000,1310988,1310988,-5.7257963e-05,9.321064e-06,-8.348231e-12,0.0,8.537022e-10,-0.048913535,5000,5000,0,0
28504000,28504000,1310988,1310988,1.7044234e-05,-8.522117e-06,5.5252027e-12,0.0,1.3659238e-09,-0.078261666,8000,8000,0,0
29000000,29000000,1310988,1310988,0.0,5.3263226e-05,9.296187e-13,0.0,1.3652552e-09,-0.07822337,8000,8000,0,0
29500000,29500000,1310988,1310988,-1.4184853e-12,-1.3315807e-06,5.326322e-06,0.0,8.5777657e-10,-0.049146976,5000,5000,0,0
30008000,30008000,1310988,1310988,0.00014141385,-5.0333747e-05,-1.7900317e-11,0.0,1.5366641e-09,-0.08804437,9000,9000,0,0
30503000,30503000,1310988,1310988,-1.7044234e-05,2.130529e-05,-2.2759928e-12,0.0,6.868898e-10,-0.03935589,4000,4000,0,0
31004000,31004000,1310988,1310988,-3.8349513e-05,-4.7936897e-05,4.4826716e-12,0.0,1.545126e-09,-0.0885292,9000,9000,0,0
31504000,31504000,1310988,1310988,-1.7044234e-05,0.0,0.0,0.0,1.369434e-09,-0.07846279,8000,8000,0,0
32000000,32000000,1310988,1310988,4.2610504e-06,4.261058e-05,1.0652653e-06,0.0,6.8195904e-10,-0.039073378,4000,4000,0,0
32500000,32500000,1310988,1310988,2.0240024e-05,4.261058e-05,4.526329e-12,0.0,6.8563627e-10,-0.03928406,4000,4000,0,0
33000000,33000000,1310988,1310988,-1.5978967e-05,-4.6605317e-05,4.860511e-12,0.0,8.566274e-10,-0.049081136,5000,5000,0,0
33500000,33500000,1310988,1310988,4.1278996e-05,5.326322e-06,8.022053e-13,0.0,8.5746316e-10,-0.049129017,5000,5000,0,0
34000000,34000000,1310988,1310988,0.0,4.2610576e-05,7.436949e-13,0.0,8.507772e-10,-0.048745945,5000,5000,0,0
34503000,34503000,1310988,1310988,-3.7284255e-05,-5.2197956e-05,1.29901315e-11,0.0,1.1910881e-09,-0.06824432,7000,7000,0,0
35000000,35000000,1310988,1310988,4.2610586e-06,1.3848438e-05,6.199634e-13,0.0,6.850513e-10,-0.03925055,4000,4000,0,0
35500000,35500000,1310988,1310988,3.5153735e-05,-7.456852e-06,-1.3487551e-11,0.0,6.8530204e-10,-0.039264914,4000,4000,0,0
36000000,36000000,1310988,1310988,0.0,-3.062635e-05,-5.345306e-13,0.0,8.537022e-10,-0.048913535,5000,5000,0,0
36500000,36500000,1310988,1310988,2.556635e-05,-2.130529e-05,-3.7184746e-13,0.0,6.866392e-10,-0.039341528,4000,4000,0,0
