timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,is_external
30939300,30938356,396809,0.70757574,0.18636364,0.8492424,nan,0,1
30960543,30959602,396809,0.6992424,0.1840909,0.82954544,nan,0,1
31941811,31940870,396809,0.69848484,0.23560606,0.85606056,nan,0,1
32944281,32943338,396809,0.67954546,0.23560606,0.79999995,nan,0,1
33946656,33945715,396809,0.7174242,0.2090909,0.8363636,nan,0,1
34948966,34948025,396809,0.7174242,0.15833333,0.8636363,nan,0,1
35951427,35950486,396809,0.69469696,0.20227273,0.9090909,nan,0,1
36953481,36952541,396809,0.69545454,0.225,0.79090905,nan,0,1
37955904,37954963,396809,0.6583333,0.26287878,0.8674242,nan,0,1
38957951,38957011,396809,0.6340909,0.29696968,0.75454545,nan,0,1
39938700,39937758,396809,0.6340909,0.24469696,0.8333333,nan,0,1
40941504,40940563,396809,0.6257576,0.20984848,0.79090905,nan,0,1
41943757,41942817,396809,0.6212121,0.26893938,0.775,nan,0,1
42945859,42944918,396809,0.625,0.25984848,0.785606,nan,0,1
43948576,43947636,396809,0.7030303,0.24166666,0.7060606,nan,0,1
44950771,44949830,396809,0.72803026,0.10378788,0.79090905,nan,0,1
45953879,45952938,396809,0.75757575,0.05681818,0.82878786,nan,0,1
46956258,46955317,396809,0.7613636,0.003030303,0.7151515,nan,0,1
47937291,47936349,396809,0.7628788,0.003030303,0.755303,nan,0,1
48940060,48939118,396809,0.71363634,0.03181818,0.7916666,nan,0,1
49942582,49941641,396809,0.70757574,0.047727272,0.7492424,nan,0,1
50945102,50944162,396809,0.72196966,0.07954545,0.7946969,nan,0,1
51948010,51947070,396809,0.6962121,0.011363636,0.805303,nan,0,1
52950483,52949542,396809,0.68257576,-0.012878788,0.7893939,nan,0,1
