timestamp,accel_device_id,gyro_device_id
44000,1310988,1310988
580000,1310988,1310988
13820000,1310996,1310996
14048000,1310988,1310988
14152000,1310996,1310996
14751000,1310988,1310988
14792000,1310996,1310996
14856000,1310988,1310988
15783000,1310988,1310988
19424000,1311004,1311004
19672000,1310996,1310996
22356000,1310988,1310988
22484000,1310988,1310988
22592000,1311004,1311004
28640000,1310996,1310996
31252000,1310988,1310988
32179000,1311004,1311004
32252000,1310996,1310996
33288000,1311004,1311004
33367000,1310988,1310988
33411000,1310996,1310996
34184000,1311004,1311004
34300000,1310988,1310988
36808000,1311004,1311004
37219000,1310988,1310988
37280000,1311004,1311004
38247000,1310988,1310988
40572000,1310988,1310988
41355000,1311004,1311004
41460000,1311004,1311004
42868000,1310996,1310996
48976000,1311004,1311004
49068000,1310996,1310996
51716000,1311004,1311004
53832000,1310988,1310988
