timestamp,rtl_time_s,rtl_limit_fraction
11088000,0.0,0.0
12092000,0.057519216,6.391024e-05
13104000,0.08415776,9.350862e-05
14119000,0.028705819,3.1895357e-05
15120000,0.08070508,8.967231e-05
16135000,0.14093855,0.0001565984
17140000,0.112473354,0.0001249704
18144000,0.027930904,3.103434e-05
19180000,0.013204916,1.467213e-05
20204000,0.047969356,5.329929e-05
21207000,0.010698272,1.1886969e-05
22224000,0.011954637,1.3282931e-05
23224000,0.3728369,0.00041426325
24237000,0.6899909,0.00076665654
25252000,0.7858839,0.0008732044
26272000,0.7769291,0.0008632546
27284000,0.72839856,0.0008093318
28296000,0.79721224,0.00088579144
29332000,0.8089347,0.0008988164
30360000,0.8164062,0.0009071181
31372000,0.82502866,0.0009166986
32396000,0.76048714,0.00084498577
33396000,0.7288826,0.0008098696
34412000,0.768205,0.0008535611
35424000,0.75600505,0.00084000564
36435000,0.8556935,0.0009507706
37464000,0.8272954,0.0009192172
38472000,0.81298995,0.00090332224
39524000,0.80687886,0.0008965321
40544000,0.44069627,0.0004896626
41560000,0.17105079,0.00019005644
42572000,0.10620566,0.00011800629
43584000,0.085508995,9.501e-05
44588000,0.060254306,6.694924e-05
45632000,0.049422354,5.491373e-05
