timestamp,flag_armed,flag_external_manual_override_ok,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled
52000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
552000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
1052000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
1524000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
2024000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
2530000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
3040000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
3544000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
4044000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
4267000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
4776000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
5279000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
5787000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
6289000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
6799000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
7303000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
7808000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
8311000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
8812000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
9325000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
9825000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
10328000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
10831000,0,0,0,1,0,0,1,1,0,0,0,0,0,0
11032000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
11540000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
12043000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
12555000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
13059000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
13560000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
14068000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
14576000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
15083000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
15588000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
15748000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
15999000,1,0,1,0,1,0,1,1,0,1,1,1,1,0
16127000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
16283000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
16784000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
16795000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
16832000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
16959000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
17467000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
17968000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
18196000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
18211000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
18712000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
19224000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
