timestamp,tilt_limit,takeoff_state
708000,0.0,1
11037000,0.0026,1
11045000,0.0042000003,1
12036000,0.20239994,1
12073000,0.20943952,1
17717000,0.20943952,2
18718000,0.20943952,3
19957000,0.20943952,4
22965000,0.21183951,5
22976000,0.2140395,5
23966000,0.41203967,5
24961000,0.6110404,5
25836000,0.7853982,5
49233000,0.7835982,3
49253000,0.7795982,3
50224000,0.5853975,3
51232000,0.38379693,1
