timestamp,saturation_status
996000,1533
2004000,1533
3000000,1533
4000000,1533
5000000,1533
6000000,1533
7000000,1533
8004000,1533
8996000,1533
10001000,1533
11004000,1533
11997000,1533
13004000,1533
14004000,1533
15005000,1533
16000000,1533
17004000,1533
18004000,1533
18997000,1533
19996000,1533
21000000,1529
21996000,1533
23000000,1533
24007000,1533
25003000,1529
26007000,1533
26999000,1529
27999000,1
28999000,1
29999000,1
31003000,1
32004000,1
33003000,1
34004000,1
35001000,1
35993000,1
37001000,1
37997000,1
39001000,1
40001000,1
41001000,1
42005000,1
43001000,1
43997000,1
45001000,1
46001000,1
47001000,1
48002000,1
49002000,1
50002000,1
50998000,1
52002000,1
