timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,close_to_ground_or_skipped_check
512000,inf,0,1,1,1,0,0,1,1,0,1
1512000,inf,0,1,1,1,0,0,1,0,0,1
2512000,inf,0,1,1,1,0,0,1,0,0,1
3512000,inf,0,1,1,1,0,0,1,0,0,1
4512000,inf,0,1,1,1,0,0,1,0,0,1
5512000,inf,0,1,1,1,0,0,1,0,0,1
6520000,inf,0,1,1,1,0,0,1,0,0,1
7520000,inf,0,1,1,1,0,0,1,0,0,1
8520000,inf,0,1,1,1,0,0,1,0,0,1
9520000,inf,0,1,1,1,0,0,1,0,0,1
10520000,inf,0,1,1,1,0,0,1,0,0,1
11052000,inf,0,1,1,1,1,1,1,0,0,1
12052000,inf,0,1,1,1,1,1,1,0,0,1
13052000,inf,0,1,1,1,1,1,1,0,0,1
14052000,inf,0,1,1,1,1,1,1,0,0,1
15055000,inf,0,1,1,1,1,1,1,0,0,1
16060000,inf,0,1,1,1,1,1,1,0,0,1
16712000,inf,0,1,1,1,0,0,1,0,0,1
17724000,inf,0,1,1,1,0,0,1,0,0,1
18552000,inf,0,1,1,1,1,0,1,0,0,1
19304000,inf,0,1,0,0,1,0,1,0,0,1
19312000,inf,0,0,0,0,1,0,1,0,0,1
20312000,inf,0,0,0,0,1,0,0,0,0,1
21312000,inf,0,0,0,0,1,0,0,0,0,1
22313000,inf,0,0,0,0,1,0,0,0,0,1
23320000,inf,0,0,0,0,1,0,0,0,0,1
24312000,inf,0,0,0,0,0,0,0,0,0,1
25312000,inf,0,0,0,0,0,0,0,0,0,1
26312000,inf,0,0,0,0,0,0,0,0,0,1
27312000,inf,0,0,0,0,0,0,0,0,0,1
28316000,inf,0,0,0,0,0,0,0,0,0,1
29320000,inf,0,0,0,0,0,0,0,0,0,1
30320000,inf,0,0,0,0,0,0,0,0,0,1
31320000,inf,0,0,0,0,0,0,0,0,0,1
32320000,inf,0,0,0,0,0,0,0,0,0,1
33324000,inf,0,0,0,0,0,0,0,0,0,1
34332000,inf,0,0,0,0,0,0,0,0,0,1
35332000,inf,0,0,0,0,0,0,0,0,0,1
36332000,inf,0,0,0,0,0,0,0,0,0,1
37332000,inf,0,0,0,0,0,0,0,0,0,1
38333000,inf,0,0,0,0,0,0,0,0,0,1
39340000,inf,0,0,0,0,0,0,0,0,0,1
40343000,inf,0,0,0,0,0,0,0,0,0,1
41352000,inf,0,0,0,0,0,0,0,0,0,1
42352000,inf,0,0,0,0,0,0,0,0,0,1
43352000,inf,0,0,0,0,0,0,0,0,0,1
44352000,inf,0,0,0,0,0,0,0,0,0,1
45180000,inf,0,0,0,0,1,1,0,1,0,1
46180000,inf,0,0,0,0,1,1,0,1,0,1
46889000,inf,0,1,0,0,1,1,1,0,0,1
47252000,inf,0,1,1,0,1,1,1,0,0,1
47596000,inf,0,1,1,1,1,1,1,0,0,1
48604000,inf,0,1,1,1,1,1,1,0,0,1
49612000,inf,0,1,1,1,1,1,1,0,0,1
