timestamp,mag_inconsistency_angle
496000,0.0
996000,0.0
1496000,0.0
2000000,0.0
2500000,0.0
3000000,0.0
3492000,0.0
3992000,0.0
4500000,6.3850944e-06
5000000,3.2411418e-08
5496000,2.0199208e-10
5996000,1.4682492e-12
6504000,8.692802e-15
7000000,5.1465907e-17
7496000,2.2398614e-19
8000000,1.1968191e-21
8499000,6.7315055e-24
9000000,3.7861324e-26
9496000,2.1295084e-28
10000000,1.1378539e-30
10496000,7.091252e-33
11000000,3.599596e-35
11496000,3.3814366e-37
12000000,1.630631e-39
12496000,9.17e-42
13000000,5.7e-44
13500000,1.3e-44
14000000,1.3e-44
14504000,1.0078797e-05
15000000,6.9598165e-08
15500000,3.0424459e-05
15996000,2.9079853e-05
16504000,1.6355958e-07
17000000,1.3173296e-09
17504000,7.0388504e-12
18004000,5.6691793e-14
18504000,2.8777365e-16
19000000,3.074436e-05
19499000,1.820226e-07
19996000,9.2396607e-10
20500000,2.8821717e-06
21000000,0.00024956014
21496000,0.00053523487
22002000,0.00052377075
22502000,0.00011938793
22866000,0.0002542423
