timestamp,indicated_airspeed_m_s,true_airspeed_m_s,air_temperature_celsius,confidence
160000,0.5026248,0.51285505,25.0,1.0
164000,0.34926736,0.35637623,25.0,1.0
172000,0.68672097,0.70069826,25.0,1.0
176000,-0.4649728,-0.4744367,25.0,1.0
180000,-0.63106996,-0.6439146,25.0,1.0
188000,0.53937054,0.55035,25.0,1.0
196000,-0.55504453,-0.56634307,25.0,1.0
200000,-0.47814748,-0.48788068,25.0,1.0
204000,-0.55993927,-0.5713374,25.0,1.0
208000,0.39118126,0.39914417,25.0,1.0
212000,0.19068936,0.19457103,25.0,1.0
216000,-0.68546873,-0.6994222,25.0,1.0
224000,-0.6155557,-0.628086,25.0,1.0
232000,-0.35565272,-0.36289242,25.0,1.0
236000,-0.43492776,-0.44378117,25.0,1.0
240000,-0.21927321,-0.22373675,25.0,1.0
244000,0.3832037,0.3910042,25.0,1.0
248000,0.66478145,0.6783138,25.0,1.0
252000,-0.5873456,-0.59930164,25.0,1.0
256000,-0.4858752,-0.4957657,25.0,1.0
260000,-0.3859389,-0.3937951,25.0,1.0
264000,-0.36716232,-0.3746363,25.0,1.0
268000,0.67791855,0.6917183,25.0,1.0
272000,0.5123005,0.5227289,25.0,1.0
276000,-0.59590566,-0.608036,25.0,1.0
280000,-0.61619186,-0.6287351,25.0,1.0
284000,0.64594424,0.65909314,25.0,1.0
288000,-0.6287219,-0.6415202,25.0,1.0
296000,-0.46634892,-0.47584334,25.0,1.0
304000,0.5722049,0.58385444,25.0,1.0
312000,-0.11097073,-0.11322998,25.0,1.0
316000,-0.6123194,-0.62478566,25.0,1.0
320000,0.4835938,0.4934393,25.0,1.0
324000,-0.4355458,-0.4444131,25.0,1.0
332000,0.6250491,0.6377745,25.0,1.0
336000,-0.6354732,-0.6484108,25.0,1.0
340000,-0.23667757,-0.2414961,25.0,1.0
344000,0.5902517,0.60226864,25.0,1.0
348000,-0.5030184,-0.5132578,25.0,1.0
352000,0.5412534,0.5522711,25.0,1.0
356000,0.6851158,0.699062,25.0,1.0
360000,-0.6718021,-0.68547726,25.0,1.0
364000,-0.6596043,-0.67303115,25.0,1.0
372000,-0.091659784,-0.0935256,25.0,1.0
376000,-0.1548897,-0.15804262,25.0,1.0
380000,-0.6851813,-0.6991288,25.0,1.0
388000,0.27501637,0.28061458,25.0,1.0
396000,0.62856954,0.6413647,25.0,1.0
400000,0.57804406,0.589812,25.0,1.0
408000,-0.56617624,-0.5777026,25.0,1.0
412000,-0.5928052,-0.60487366,25.0,1.0
420000,0.60041744,0.61264086,25.0,1.0
424000,0.1539837,0.15711853,25.0,1.0
432000,0.6752942,0.689042,25.0,1.0
436000,-0.30297935,-0.30914748,25.0,1.0
440000,0.5935682,0.6056522,25.0,1.0
448000,0.5068359,0.51715416,25.0,1.0
456000,0.58853906,0.6005192,25.0,1.0
460000,-0.38131872,-0.38908073,25.0,1.0
468000,-0.6360739,-0.6490216,25.0,1.0
472000,-0.27246964,-0.27801594,25.0,1.0
476000,0.68079394,0.69465196,25.0,1.0
480000,0.25722486,0.26246086,25.0,1.0
484000,-0.64556783,-0.6587088,25.0,1.0
488000,-0.36519238,-0.37262613,25.0,1.0
496000,-0.5878127,-0.59977806,25.0,1.0
504000,0.36671445,0.37417918,25.0,1.0
512000,0.30968124,0.31598553,25.0,1.0
520000,0.21412726,0.21848632,25.0,1.0
524000,-0.65558255,-0.6689285,25.0,1.0
532000,-0.34389746,-0.3508983,25.0,1.0
540000,-0.666146,-0.67970693,25.0,1.0
544000,-0.31260175,-0.3189655,25.0,1.0
548000,-0.66696113,-0.6805387,25.0,1.0
556000,0.18441981,0.18817411,25.0,1.0
560000,-0.3153605,-0.32178038,25.0,1.0
568000,-0.19234751,-0.19626339,25.0,1.0
572000,-0.28804696,-0.2939111,25.0,1.0
580000,0.39902136,0.40714476,25.0,1.0
588000,-0.5804432,-0.59226006,25.0,1.0
592000,0.41183454,0.4202188,25.0,1.0
596000,-0.15150185,-0.15458617,25.0,1.0
600000,-0.54156864,-0.55259407,25.0,1.0
604000,-0.6460705,-0.6592234,25.0,1.0
608000,-0.23460144,-0.23937753,25.0,1.0
612000,-0.2953135,-0.3013256,25.0,1.0
616000,0.381579,0.3893473,25.0,1.0
620000,-0.5116643,-0.5220803,25.0,1.0
624000,0.28368655,0.28946158,25.0,1.0
628000,0.24520937,0.25020114,25.0,1.0
636000,0.6943268,0.70846134,25.0,1.0
640000,0.53525656,0.54615283,25.0,1.0
644000,0.6006287,0.61285573,25.0,1.0
648000,-0.556555,-0.56788486,25.0,1.0
656000,0.61693984,0.62949896,25.0,1.0
660000,-0.31667402,-0.3231206,25.0,1.0
664000,-0.5558599,-0.5671756,25.0,1.0
672000,0.35584217,0.36308613,25.0,1.0
676000,-0.54501736,-0.5561124,25.0,1.0
684000,0.3372342,0.34409937,25.0,1.0
692000,-0.16358055,-0.1669106,25.0,1.0
700000,-0.21671256,-0.22112423,25.0,1.0
704000,-0.49699298,-0.50711036,25.0,1.0
708000,0.67925596,0.69308376,25.0,1.0
716000,0.5503342,0.5615375,25.0,1.0
720000,0.6594581,0.67288285,25.0,1.0
724000,0.5205973,0.5311961,25.0,1.0
732000,0.5978504,0.61002207,25.0,1.0
736000,0.35481694,0.36204067,25.0,1.0
740000,0.1715273,0.17501943,25.0,1.0
744000,-0.5685468,-0.5801218,25.0,1.0
748000,0.520889,0.5314938,25.0,1.0
752000,-0.59538513,-0.60750663,25.0,1.0
756000,0.27127442,0.2767973,25.0,1.0
760000,0.30890638,0.3151954,25.0,1.0
764000,-0.64013714,-0.6531697,25.0,1.0
772000,-0.51808935,-0.5286372,25.0,1.0
780000,-0.6650404,-0.67858,25.0,1.0
784000,-0.14699592,-0.1499886,25.0,1.0
788000,0.64661974,0.6597843,25.0,1.0
792000,0.5579465,0.5693058,25.0,1.0
796000,-0.34439355,-0.35140508,25.0,1.0
804000,0.5951101,0.607226,25.0,1.0
808000,0.45980224,0.46916336,25.0,1.0
812000,-0.58785635,-0.59982455,25.0,1.0
820000,-0.6826607,-0.696559,25.0,1.0
824000,0.5508714,0.5620866,25.0,1.0
828000,-0.24234018,-0.247274,25.0,1.0
836000,-0.3923699,-0.40035686,25.0,1.0
844000,-0.5493411,-0.56052333,25.0,1.0
848000,0.5064025,0.5167107,25.0,1.0
852000,-0.6837294,-0.6976472,25.0,1.0
856000,0.46627644,0.47576782,25.0,1.0
860000,-0.6456916,-0.65883505,25.0,1.0
868000,-0.36207786,-0.3694482,25.0,1.0
