timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2],samples
965000,965000,1310988,0.01436521,-0.0047884034,-9.76116,25.0,0,0,0,0,1
1968000,1968000,1310988,0.016759412,-0.007182605,-9.809045,25.0,0,0,0,0,1
2961000,2961000,1310988,-0.04309563,-0.050278235,-9.768343,25.0,0,0,0,0,1
3965000,3965000,1310988,0.04070143,-0.047884032,-9.799467,25.0,0,0,0,0,1
4965000,4965000,1310988,-0.021547815,0.06464344,-9.835381,25.0,0,0,0,0,1
5968000,5968000,1310988,-0.047884032,0.059855044,-9.923966,25.0,0,0,0,0,1
6972000,6972000,1310988,0.02873042,0.0047884034,-9.749189,25.0,0,0,0,0,1
7968000,7968000,1310988,-0.074220255,-0.0047884034,-9.811439,25.0,0,0,0,0,1
8968000,8968000,1310988,0.06464344,-0.079008654,-9.938332,25.0,0,0,0,0,1
9968000,9968000,1310988,0.019153614,0.06464344,-9.742006,25.0,0,0,0,0,1
10972000,10972000,1310988,0.0023942017,0.01436521,-9.89763,25.0,0,0,0,0,1
11969000,11969000,1310988,0.0047884034,-0.007182605,-9.7324295,25.0,0,0,0,0,1
12972000,12972000,1310988,0.033518825,-0.009576807,-9.873688,25.0,0,0,0,0,1
13969000,13969000,1310988,-0.021547815,0.009576807,-9.847352,25.0,0,0,0,0,1
14956000,14956000,1310988,-0.06943185,-0.02873042,-9.737218,25.0,0,0,0,0,1
15968000,15968000,1310988,-0.038307227,0.016759412,-9.9550905,25.0,0,0,0,0,1
16972000,16972000,1310988,-0.047884032,0.055066638,-9.739613,25.0,0,0,0,0,1
17965000,17965000,1310988,-0.045489833,-0.090979666,-9.746795,25.0,0,0,0,0,1
18964000,18964000,1310988,-0.01436521,-0.021547815,-9.737218,25.0,0,0,0,0,1
19965000,19965000,1310988,0.0,-0.007182605,-9.890448,25.0,0,0,0,0,1
20965000,20965000,1310988,-0.009576807,-0.01436521,-9.832987,25.0,0,0,0,0,1
21965000,21965000,1310988,0.045489833,-0.01436521,-9.77792,25.0,0,0,0,0,1
22964000,22964000,1310988,-0.016759412,0.0047884034,-9.964667,25.0,0,0,0,0,1
23957000,23957000,1310988,-0.019153614,0.05746084,-9.763555,25.0,0,0,0,0,1
24965000,24965000,1310988,0.007182605,-0.06943185,-9.818622,25.0,0,0,0,0,1
25960000,25960000,1310988,0.007182605,-0.08619126,-9.80665,25.0,0,0,0,0,1
26965000,26965000,1310988,-0.031124622,-0.033518825,-9.813833,25.0,0,0,0,0,1
27965000,27965000,1310988,0.076614454,0.02873042,-9.742006,25.0,0,0,0,0,1
28968000,28968000,1310988,0.045489833,0.0,-9.701305,25.0,0,0,0,0,1
29968000,29968000,1310988,-0.0023942017,0.076614454,-9.703699,25.0,0,0,0,0,1
30961000,30961000,1310988,-0.04309563,-0.023942016,-9.873688,25.0,0,0,0,0,1
31970000,31970000,1310988,0.095768064,-0.031124622,-10.18254,25.0,0,0,0,0,1
32966000,32966000,1310988,0.04309563,-0.016759412,-9.581595,25.0,0,0,0,0,1
33966000,33966000,1310988,-0.059855044,0.02633622,-9.548077,25.0,0,0,0,0,1
34970000,34970000,1310988,0.0023942017,0.04070143,-10.448297,25.0,0,0,0,0,1
35970000,35970000,1310988,0.01436521,0.01436521,-9.928755,25.0,0,0,0,0,1
36970000,36970000,1310988,-0.059855044,0.011971008,-9.969456,25.0,0,0,0,0,1
37958000,37958000,1310988,0.016759412,-0.009576807,-9.91439,25.0,0,0,0,0,1
38970000,38970000,1310988,-0.031124622,-0.021547815,-9.892841,25.0,0,0,0,0,1
39963000,39963000,1310988,-0.04309563,-0.047884032,-9.854534,25.0,0,0,0,0,1
40970000,40970000,1310988,-0.011971008,0.035913024,-9.856929,25.0,0,0,0,0,1
41974000,41974000,1310988,0.011971008,0.0047884034,-9.677363,25.0,0,0,0,0,1
42970000,42970000,1310988,0.045489833,-0.021547815,-8.130709,25.0,0,0,0,0,1
43961000,43961000,1310988,0.01436521,0.0,-10.383653,25.0,0,0,0,0,1
44965000,44965000,1310988,-0.093373865,-0.088585466,-9.85214,25.0,0,0,0,0,1
45969000,45969000,1310988,-0.031124622,0.038307227,-9.801862,25.0,0,0,0,0,1
46974000,46974000,1310988,0.038307227,0.0023942017,-9.710882,25.0,0,0,0,0,1
