timestamp,hpos_drift_rate,vpos_drift_rate,hspd,blocked
5001000,0.0,0.0,0.0,1
5104000,0.0,0.0,0.0,1
5925000,0.0,0.0,0.0,1
6929000,0.0,0.0,0.0,1
7937000,0.0,0.0,0.0,1
8941000,0.0,0.0,0.0,1
9948000,0.0,0.0,0.0,1
10957000,0.0,0.0,0.0,1
11973000,0.0,0.0,0.0,1
12993000,0.0,0.0,0.0,1
14004000,0.0,0.0,0.0,1
15008000,0.0,0.0,0.0,1
15921000,0.0,0.0,0.0,1
16932000,0.0,0.0,0.0,1
17948000,0.0,0.0,0.0,1
18956000,0.0,0.0,0.0,1
19976000,0.0,0.0,0.0,1
20988000,0.0,0.0,0.0,1
21985000,0.0,0.0,0.0,1
22089000,0.0,0.0,0.0,1
43637000,0.0,0.0,0.0,1
43740000,0.0,0.0,0.0,1
44544000,0.0,0.0,0.0,1
45257000,0.0,0.0,0.0,1
46569000,0.0,0.0,0.0,1
47593000,0.0,0.0,0.0,1
48601000,0.0,0.0,0.0,1
