timestamp,timestamp_sample,device_id,sensor_sample_rate_hz,resolution_hz,peak_frequencies_x[0],peak_frequencies_x[1],peak_frequencies_x[2],peak_frequencies_x[3],peak_frequencies_y[0],peak_frequencies_y[1],peak_frequencies_y[2],peak_frequencies_y[3],peak_frequencies_z[0],peak_frequencies_z[1],peak_frequencies_z[2],peak_frequencies_z[3],peak_magnitude_x[0],peak_magnitude_x[1],peak_magnitude_x[2],peak_magnitude_x[3],peak_magnitude_y[0],peak_magnitude_y[1],peak_magnitude_y[2],peak_magnitude_y[3],peak_magnitude_z[0],peak_magnitude_z[1],peak_magnitude_z[2],peak_magnitude_z[3],total_energy[0],total_energy[1],total_energy[2]
27774644,27771365,6684682,1998.2238,1.9513904,52.577988,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,479.0,452.0,476.0
28480597,28478501,6684682,1998.2238,1.9513904,nan,nan,nan,nan,60.479393,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,nan,nan,nan,nan,473.0,467.0,478.0
28732802,28732295,6684682,1998.2238,1.9513904,80.007,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,453.0,450.0,489.0
28863220,28861371,6684682,1998.2238,1.9513904,87.54304,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,483.0,471.0,479.0
28989426,28988994,6684682,1998.2238,1.9513904,87.70986,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,499.0,474.0,530.0
29120476,29119620,6684682,1998.2238,1.9513904,33.339565,nan,nan,nan,nan,nan,nan,nan,85.89626,nan,nan,nan,10.0,nan,nan,nan,nan,nan,nan,nan,13.0,nan,nan,nan,432.0,462.0,476.0
29377580,29376368,6684682,1998.2238,1.9513904,85.86616,nan,nan,nan,nan,nan,nan,nan,87.6044,nan,nan,nan,17.0,nan,nan,nan,nan,nan,nan,nan,29.0,nan,nan,nan,487.0,465.0,496.0
29503120,29502492,6684682,1998.2238,1.9513904,nan,nan,nan,nan,58.43216,nan,nan,nan,87.6044,nan,nan,nan,nan,nan,nan,nan,17.0,nan,nan,nan,29.0,nan,nan,nan,486.0,488.0,496.0
29507435,29503994,6684682,1998.2238,1.9513904,nan,nan,nan,nan,58.43216,nan,nan,nan,87.73685,nan,nan,nan,nan,nan,nan,nan,17.0,nan,nan,nan,49.0,nan,nan,nan,486.0,488.0,574.0
29633914,29633163,6684682,1998.2238,1.9513904,nan,nan,nan,nan,nan,nan,nan,nan,87.62842,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,32.0,nan,nan,nan,485.0,459.0,509.0
29764076,29760805,6684682,1998.2238,1.9513904,nan,nan,nan,nan,nan,nan,nan,nan,86.23446,87.62819,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25.0,17.0,nan,nan,429.0,478.0,522.0
