timestamp,error_count,differential_pressure_raw_pa,differential_pressure_filtered_pa,temperature,device_id
1000000,0,0.32071236,0.32071236,24.675455,0
2000000,0,-0.023016825,-0.023016825,24.675455,0
3000000,0,-0.37197813,-0.37197813,24.675455,0
4000000,0,0.5382811,0.5382811,24.675455,0
5000000,0,-0.40146643,-0.40146643,24.675455,0
6000000,0,-0.3506188,-0.3506188,24.675455,0
7000000,0,-0.48536235,-0.48536235,24.675455,0
8000000,0,-0.5962566,-0.5962566,24.675455,0
9000000,0,0.22230679,0.22230679,24.675455,0
10000000,0,0.593133,0.593133,24.675455,0
11003000,0,-0.28276747,-0.28276747,24.675455,0
12004000,0,-0.021456772,-0.021456772,24.675455,0
13000000,0,0.07051901,0.07051901,24.675455,0
14000000,0,0.013027998,0.013027998,24.675455,0
15000000,0,-0.06053814,-0.06053814,24.675455,0
16000000,0,0.38854802,0.38854802,24.675455,0
17000000,0,0.5039874,0.5039874,24.675455,0
18000000,0,0.25227377,0.25227377,24.675459,0
19000000,0,-0.091656804,-0.091656804,24.674599,0
20000000,0,0.11101626,0.11101626,24.672424,0
21000000,0,-0.57498753,-0.57498753,24.671227,0
22004000,0,-0.1456464,-0.1456464,24.670515,0
23000000,0,0.23622462,0.23622462,24.670925,0
24000000,0,0.16517498,0.16517498,24.670986,0
25004000,0,0.6499916,0.6499916,24.67076,0
26000000,0,-0.29800987,-0.29800987,24.670322,0
27000000,0,0.43593428,0.43593428,24.670124,0
28000000,0,0.44991276,0.44991276,24.6699,0
29000000,0,0.18297102,0.18297102,24.669954,0
30004000,0,-0.38805833,-0.38805833,24.670082,0
31000000,0,0.092044905,0.092044905,24.670008,0
32000000,0,0.47204545,0.47204545,24.669682,0
33004000,0,-0.20702857,-0.20702857,24.669624,0
34000000,0,-0.535384,-0.535384,24.66941,0
35000000,0,-0.18733351,-0.18733351,24.669773,0
36000000,0,-0.54569554,-0.54569554,24.66997,0
37000000,0,-0.044517852,-0.044517852,24.670036,0
38000000,0,-0.0039012765,-0.0039012765,24.67021,0
39004000,0,0.20481452,0.20481452,24.670414,0
40000000,0,-0.6207337,-0.6207337,24.670433,0
41000000,0,0.39440557,0.39440557,24.66996,0
42000000,0,0.46139938,0.46139938,24.669724,0
43000000,0,0.6900201,0.6900201,24.670418,0
44000000,0,0.55184746,0.55184746,24.674498,0
45000000,0,-0.36818042,-0.36818042,24.675508,0
46000000,0,-0.01525137,-0.01525137,24.6755,0
47004000,0,-0.49496257,-0.49496257,24.675505,0
48004000,0,0.5371003,0.5371003,24.675505,0
