timestamp,rtl_time_s,rtl_limit_fraction
11029000,0.0,0.0
12036000,0.10607332,0.00011785925
13044000,0.14002803,0.0001555867
14088000,0.21071586,0.00023412875
15116000,0.017985005,1.998334e-05
16136000,0.09044022,0.00010048914
17136000,0.2108711,0.00023430123
18148000,0.042939145,4.7710164e-05
19156000,0.27952394,0.00031058217
20160000,0.60609347,0.00067343726
21172000,0.7711551,0.00085683906
22193000,0.92511374,0.0010279042
23199000,0.8722799,0.0009691999
24204000,0.8459569,0.0009399522
25216000,0.8548038,0.0009497821
26216000,0.9100175,0.0010111306
27216000,0.91023165,0.0010113686
28232000,0.9396596,0.0010440663
29235000,0.9438299,0.0010486998
30252000,0.92297953,0.0010255328
31264000,0.9130473,0.001014497
32272000,0.95050997,0.0010561222
33272000,0.9335531,0.0010372812
34280000,0.99401385,0.0011044599
35296000,0.95405596,0.0010600623
36297000,0.9391314,0.0010434794
37312000,0.9538576,0.0010598418
38316000,0.92892224,0.0010321359
39323000,0.9135711,0.0010150791
40324000,0.85739154,0.0009526573
41336000,0.889049,0.0009878322
42340000,0.9216111,0.0010240123
43364000,0.5113776,0.00056819734
44367000,0.008140507,9.0450085e-06
45384000,0.07232859,8.0365106e-05
46404000,0.08015033,8.905593e-05
47408000,0.09704396,0.00010782663
48440000,0.07491137,8.323486e-05
