timestamp,timestamp_sample,switch_changes,mode_slot,arm_switch,return_switch,loiter_switch,offboard_switch,kill_switch,gear_switch,transition_switch,mode_switch,man_switch,acro_switch,stab_switch,posctl_switch
422572708,422560681,1,1,0,0,0,0,3,0,3,0,0,0,0,0
423580706,423568680,1,1,0,0,0,0,3,0,3,0,0,0,0,0
424588706,424576679,1,1,0,0,0,0,3,0,3,0,0,0,0,0
425596706,425584682,1,1,0,0,0,0,3,0,3,0,0,0,0,0
426604704,426592682,1,1,0,0,0,0,3,0,3,0,0,0,0,0
427612709,427600683,1,1,0,0,0,0,3,0,3,0,0,0,0,0
428620703,428604695,1,1,0,0,0,0,3,0,3,0,0,0,0,0
429624706,429612679,1,1,0,0,0,0,3,0,3,0,0,0,0,0
430632792,430620679,1,1,0,0,0,0,3,0,3,0,0,0,0,0
431640710,431628767,1,1,0,0,0,0,3,0,3,0,0,0,0,0
432648705,432636682,1,1,0,0,0,0,3,0,3,0,0,0,0,0
433656705,433644679,1,1,0,0,0,0,3,0,3,0,0,0,0,0
434664707,434652685,1,1,0,0,0,0,3,0,3,0,0,0,0,0
435673169,435660736,1,1,0,0,0,0,3,0,3,0,0,0,0,0
436680762,436668679,1,1,0,0,0,0,3,0,3,0,0,0,0,0
437688704,437676679,1,1,0,0,0,0,3,0,3,0,0,0,0,0
438696704,438684679,1,1,0,0,0,0,3,0,3,0,0,0,0,0
439704730,439692679,1,1,0,0,0,0,3,0,3,0,0,0,0,0
440712970,440700679,1,1,0,0,0,0,3,0,3,0,0,0,0,0
441720708,441708679,1,1,0,0,0,0,3,0,3,0,0,0,0,0
442728707,442716680,1,1,0,0,0,0,3,0,3,0,0,0,0,0
443736877,443724754,1,1,0,0,0,0,3,0,3,0,0,0,0,0
444744704,444732682,1,1,0,0,0,0,3,0,3,0,0,0,0,0
445752709,445740680,1,1,0,0,0,0,3,0,3,0,0,0,0,0
446760707,446748679,1,1,0,0,0,0,3,0,3,0,0,0,0,0
447768737,447756706,1,1,0,0,0,0,3,0,3,0,0,0,0,0
448776705,448764702,1,1,0,0,0,0,3,0,3,0,0,0,0,0
449784704,449772680,1,1,0,0,0,0,3,0,3,0,0,0,0,0
450793310,450780690,1,1,0,0,0,0,3,0,3,0,0,0,0,0
451800706,451788679,1,1,0,0,0,0,3,0,3,0,0,0,0,0
452808705,452796683,1,1,0,0,0,0,3,0,3,0,0,0,0,0
453816705,453804681,1,1,0,0,0,0,3,0,3,0,0,0,0,0
454824704,454812681,1,1,0,0,0,0,3,0,3,0,0,0,0,0
455832708,455820679,1,1,0,0,0,0,3,0,3,0,0,0,0,0
456840706,456828680,1,1,0,0,0,0,3,0,3,0,0,0,0,0
