timestamp,main_state_changes,main_state
31916684,2,7
32423915,2,7
32929816,2,7
33435671,2,7
33941720,2,7
34447723,2,7
34909709,2,7
35415714,2,7
35921674,2,7
35932737,2,7
36438698,2,7
36944687,2,7
37450688,2,7
37956699,2,7
38462673,2,7
38968735,2,7
39474714,2,7
39980685,2,7
40486685,2,7
40948723,2,7
41454700,2,7
41960678,2,7
42466686,2,7
42972698,2,7
43478685,2,7
43984670,2,7
44490686,2,7
44996671,2,7
45502686,2,7
45953799,2,7
45964687,2,7
46470672,2,7
46976716,2,7
47482699,2,7
47988685,2,7
48494687,2,7
49000684,2,7
49506696,2,7
50012686,2,7
50518712,2,7
51024682,2,7
51530687,2,7
52036687,2,7
52542699,2,7
53048673,2,7
53554686,2,7
54060697,2,7
54566689,2,7
55072685,2,7
55578668,2,7
56084678,2,7
56590674,2,7
57096683,2,7
57602726,2,7
58108674,2,7
58614699,2,7
59120674,2,7
59626671,2,7
60132685,2,7
60638682,2,7
60968754,3,11
60979944,3,11
61485747,3,11
61991834,3,11
62497814,3,11
63003673,3,11
63509740,3,11
64015711,3,11
64521900,3,11
65027701,3,11
65533692,3,11
65808744,3,11
65985977,3,11
66481703,3,11
