timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,jamming_state,vel_ned_valid,satellites_used,selected
5698000,1728545663195000,401540302,1162594857,49930,49930,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.03,0.03,0.0,-0.089999996,0.0,0,nan,nan,3,0,1,10,0
5799000,1728545663296000,401540302,1162594857,49930,49930,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.07,0.06,0.04,0.0,0.0,0,nan,nan,3,0,1,10,0
5896000,1728545663396000,401540302,1162594857,49930,49930,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.04,0.04,0.02,0.03,0.0,0,nan,nan,3,0,1,10,0
5999000,1728545663496000,401540302,1162594857,49930,49930,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.03,0.01,-0.03,0.06,0.0,0,nan,nan,3,0,1,10,0
6098000,1728545663595000,401540302,1162594857,49930,49930,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.0,0.0,0.0,0.02,0.0,0,nan,nan,3,0,1,10,0
6196000,1728545663696000,401540302,1162594857,49930,49930,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.07,0.0,0.07,-0.049999997,0.0,0,nan,nan,3,0,1,10,0
6297000,1728545663795000,401540302,1162594857,49930,49930,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.07,-0.03,0.07,0.03,0.0,0,nan,nan,3,0,1,10,0
6396000,1728545663896000,401540302,1162594857,49930,49930,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.099999994,-0.08,0.049999997,0.17999999,0.0,0,nan,nan,3,0,1,10,0
6499000,1728545663994000,401540302,1162594857,49930,49930,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.07,-0.07,0.0,0.099999994,0.0,0,nan,nan,3,0,1,10,0
6597000,1728545664095000,401540302,1162594857,49930,49930,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.08,-0.03,-0.08,-0.07,0.0,0,nan,nan,3,0,1,10,0
6699000,1728545664196000,401540302,1162594857,49930,49930,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.06,0.01,-0.06,-0.099999994,0.0,0,nan,nan,3,0,1,10,0
6799000,1728545664296000,401540302,1162594857,49930,49930,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.06,0.06,-0.02,-0.13,0.0,0,nan,nan,3,0,1,10,0
6899000,1728545664395000,401540302,1162594857,49930,49930,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.07,0.07,0.01,-0.13,0.0,0,nan,nan,3,0,1,10,0
7000000,1728545664496000,401540302,1162594857,49930,49930,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.089999996,0.07,0.06,-0.14,0.0,0,nan,nan,3,0,1,10,0
7098000,1728545664596000,401540302,1162594857,49930,49930,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.08,0.06,0.049999997,-0.099999994,0.0,0,nan,nan,3,0,1,10,0
7198000,1728545664695000,401540302,1162594857,49930,49930,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.049999997,0.04,0.03,-0.02,0.0,0,nan,nan,3,0,1,10,0
7299000,1728545664797000,401540302,1162594857,49930,49930,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.04,0.03,0.03,-0.07,0.0,0,nan,nan,3,0,1,10,0
7403000,1728545664900000,401540302,1162594857,49930,49930,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.04,0.03,0.03,-0.14999999,0.0,0,nan,nan,3,0,1,10,0
7503000,1728545665000000,401540302,1162594857,49930,49930,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.04,0.04,-0.02,-0.17,0.0,0,nan,nan,3,0,1,10,0
7602000,1728545665099000,401540302,1162594857,49930,49930,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.089999996,0.04,-0.08,-0.17999999,0.0,0,nan,nan,3,0,1,10,0
7702000,1728545665199000,401540302,1162594857,49930,49930,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.04,0.01,-0.04,-0.14,0.0,0,nan,nan,3,0,1,10,0
7804000,1728545665304000,401540302,1162594857,49930,49930,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.06,-0.049999997,0.04,-0.089999996,0.0,0,nan,nan,3,0,1,10,0
7907000,1728545665404000,401540302,1162594857,49930,49930,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.07,-0.07,0.0,0.02,0.0,0,nan,nan,3,0,1,10,0
8007000,1728545665504000,401540302,1162594857,49930,49930,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.099999994,-0.08,-0.049999997,0.14,0.0,0,nan,nan,3,0,1,10,0
8107000,1728545665604000,401540302,1162594857,49930,49930,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.08,-0.02,-0.08,0.14999999,0.0,0,nan,nan,3,0,1,10,0
8206000,1728545665703000,401540302,1162594857,49930,49930,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.11,0.049999997,-0.099999994,0.16,0.0,0,nan,nan,3,0,1,10,0
8310000,1728545665808000,401540302,1162594857,49930,49930,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.08,0.04,-0.07,0.049999997,0.0,0,nan,nan,3,0,1,10,0
8415000,1728545665911000,401540302,1162594857,49930,49930,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.04,0.02,-0.04,-0.049999997,0.0,0,nan,nan,3,0,1,10,0
8514000,1728545666011000,401540302,1162594857,49930,49930,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.04,-0.03,0.01,-0.099999994,0.0,0,nan,nan,3,0,1,10,0
8614000,1728545666111000,401540302,1162594857,49930,49930,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.089999996,-0.08,0.049999997,-0.14,0.0,0,nan,nan,3,0,1,10,0
8714000,1728545666212000,401540302,1162594857,49930,49930,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.03,-0.03,-0.01,-0.07,0.0,0,nan,nan,3,0,1,10,0
8814000,1728545666311000,401540302,1162594857,49930,49930,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.049999997,0.01,-0.049999997,-0.01,0.0,0,nan,nan,3,0,1,10,0
8915000,1728545666413000,401540302,1162594857,49930,49930,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.049999997,-0.03,-0.04,-0.03,0.0,0,nan,nan,3,0,1,10,0
9014000,1728545666511000,401540302,1162594857,49930,49930,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.06,-0.06,-0.03,-0.049999997,0.0,0,nan,nan,3,0,1,10,0
9116000,1728545666615000,401540302,1162594857,49930,49930,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.06,-0.049999997,-0.04,-0.01,0.0,0,nan,nan,3,0,1,10,0
9219000,1728545666715000,401540302,1162594857,49930,49930,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.06,-0.04,-0.04,0.01,0.0,0,nan,nan,3,0,1,10,0
9318000,1728545666815000,401540302,1162594857,49930,49930,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.03,0.03,0.0,-0.04,0.0,0,nan,nan,3,0,1,10,0
9419000,1728545666915000,401540302,1162594857,49930,49930,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.08,0.08,0.02,-0.089999996,0.0,0,nan,nan,3,0,1,10,0
9516000,1728545667015000,401540302,1162594857,49930,49930,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.049999997,0.049999997,0.01,0.07,0.0,0,nan,nan,3,0,1,10,0
