timestamp,speed_xy,speed_up,speed_down,want_takeoff
11405000,5.0,3.0,1.0,0
11428000,5.0,3.0,1.0,0
12408000,5.0,3.0,1.0,0
13408000,5.0,3.0,1.0,0
14408000,5.0,3.0,1.0,0
15416000,5.0,3.0,1.0,0
16416000,5.0,3.0,1.0,0
17412000,5.0,3.0,1.0,0
18412000,5.0,3.0,1.0,0
19416000,5.0,3.0,1.0,0
20424000,5.0,3.0,1.0,0
21417000,5.0,3.0,1.0,0
22411000,5.0,3.0,1.0,0
22972000,5.0,3.0,1.0,0
47804000,5.0,3.0,1.0,0
47824000,5.0,3.0,1.0,0
48800000,5.0,3.0,1.0,0
49793000,5.0,3.0,1.0,0
50801000,5.0,3.0,1.0,0
51805000,5.0,3.0,1.0,0
52795000,5.0,3.0,1.0,0
