timestamp,time_utc_usec,device_id,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,automatic_gain_control,fix_type,jamming_state,vel_ned_valid,satellites_used
30028000,1728836309650000,0,281429577,1129837112,50847,50847,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.03,0.02,0.02,-0.049999997,0.0,0,nan,nan,0,3,0,1,15
30940000,1728836310563000,0,281429585,1129837107,50911,50911,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.049999997,0.02,0.04,-0.04,0.0,0,nan,nan,0,3,0,1,15
31960000,1728836311579000,0,281429580,1129837107,50891,50891,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.02,-0.02,0.01,0.03,0.0,0,nan,nan,0,3,0,1,15
32956000,1728836312579000,0,281429579,1129837117,50984,50984,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.04,0.04,0.01,-0.29,0.0,0,nan,nan,0,3,0,1,15
33960000,1728836313579000,0,281429578,1129837111,51221,51221,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.03,-0.02,-0.02,-0.26999998,0.0,0,nan,nan,0,3,0,1,15
34960000,1728836314579000,0,281429578,1129837109,51276,51276,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.02,0.02,0.01,0.22999999,0.0,0,nan,nan,0,3,0,1,15
35968000,1728836315587000,0,281429574,1129837109,51175,51175,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.02,0.0,0.02,-0.07,0.0,0,nan,nan,0,3,0,1,15
36976000,1728836316599000,0,281429577,1129837104,51249,51249,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.049999997,-0.049999997,0.0,0.11,0.0,0,nan,nan,0,3,0,1,15
37984000,1728836317603000,0,281429576,1129837114,51365,51365,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.03,0.01,-0.02,0.0,0.0,0,nan,nan,0,3,0,1,15
38984000,1728836318607000,0,281429571,1129837107,51363,51363,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.04,0.01,-0.04,-0.049999997,0.0,0,nan,nan,0,3,0,1,15
39988000,1728836319607000,0,281429577,1129837111,51274,51274,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.07,0.07,0.01,-0.14,0.0,0,nan,nan,0,3,0,1,15
40992000,1728836320611000,0,281429572,1129837117,51517,51517,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.19,-0.19,-0.01,-0.06,0.0,0,nan,nan,0,3,0,1,15
42000000,1728836321619000,0,281429564,1129837119,51573,51573,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.12,-0.12,-0.03,0.049999997,0.0,0,nan,nan,0,3,0,1,15
43000000,1728836322619000,0,281429553,1129837117,51398,51398,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.03,-0.03,-0.02,-0.01,0.0,0,nan,nan,0,3,0,1,15
43996000,1728836323619000,0,281429557,1129837106,51642,51642,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.049999997,-0.04,-0.03,-0.089999996,0.0,0,nan,nan,0,3,0,1,15
45000000,1728836324619000,0,281429552,1129837116,51540,51540,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.03,-0.01,-0.03,0.06,0.0,0,nan,nan,0,3,0,1,15
46008000,1728836325631000,0,281429564,1129837116,51438,51438,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.12,0.12,-0.01,0.16,0.0,0,nan,nan,0,3,0,1,15
47016000,1728836326635000,0,281429566,1129837109,51294,51294,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.14,0.14,-0.04,0.12,0.0,0,nan,nan,0,3,0,1,15
48028000,1728836327647000,0,281429583,1129837112,51264,51264,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.04,0.04,0.02,0.089999996,0.0,0,nan,nan,0,3,0,1,15
49028000,1728836328651000,0,281429585,1129837110,51174,51174,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.07,0.07,-0.01,0.02,0.0,0,nan,nan,0,3,0,1,15
49932000,1728836329555000,0,281429588,1129837103,51295,51295,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.03,0.0,0.03,0.22999999,0.0,0,nan,nan,0,3,0,1,15
50940000,1728836330559000,0,281429587,1129837103,50892,50892,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.04,0.03,-0.02,0.03,0.0,0,nan,nan,0,3,0,1,15
51940000,1728836331559000,0,281429590,1129837105,50746,50746,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.04,0.01,0.04,0.06,0.0,0,nan,nan,0,3,0,1,15
52960000,1728836332579000,0,281429589,1129837103,50899,50899,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.06,-0.04,-0.049999997,0.02,0.0,0,nan,nan,0,3,0,1,15
53960000,1728836333579000,0,281429587,1129837110,50911,50911,0.25,0.5,0.29999998,0.39999998,0.0,0.0,0,0,0.01,0.01,0.0,0.01,0.0,0,nan,nan,0,3,0,1,15
