timestamp,timestamp_sample,device_id,sensor_sample_rate_hz,resolution_hz,peak_frequencies_x[0],peak_frequencies_x[1],peak_frequencies_x[2],peak_frequencies_x[3],peak_frequencies_y[0],peak_frequencies_y[1],peak_frequencies_y[2],peak_frequencies_y[3],peak_frequencies_z[0],peak_frequencies_z[1],peak_frequencies_z[2],peak_frequencies_z[3],peak_magnitude_x[0],peak_magnitude_x[1],peak_magnitude_x[2],peak_magnitude_x[3],peak_magnitude_y[0],peak_magnitude_y[1],peak_magnitude_y[2],peak_magnitude_y[3],peak_magnitude_z[0],peak_magnitude_z[1],peak_magnitude_z[2],peak_magnitude_z[3],total_energy[0],total_energy[1],total_energy[2]
52941133,52938603,6684682,1998.1315,1.9513003,nan,nan,nan,nan,nan,nan,nan,nan,33.338028,52.864735,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.0,10.0,nan,nan,481.0,483.0,448.0
53641808,53638408,6684682,1998.1315,1.9513003,nan,nan,nan,nan,nan,nan,nan,nan,33.278587,52.685936,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.0,17.0,nan,nan,461.0,458.0,522.0
53894624,53893685,6684682,1998.1315,1.9513003,85.98056,nan,nan,nan,nan,nan,nan,nan,87.746895,89.75605,nan,nan,13.0,nan,nan,nan,nan,nan,nan,nan,18.0,13.0,nan,nan,492.0,460.0,516.0
54024880,54022779,6684682,1998.1315,1.9513003,nan,nan,nan,nan,nan,nan,nan,nan,87.82762,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.0,nan,nan,nan,521.0,463.0,535.0
54150743,54147416,6684682,1998.1315,1.9513003,50.89973,60.65623,nan,nan,nan,nan,nan,nan,87.82762,nan,nan,nan,10.0,10.0,nan,nan,nan,nan,nan,nan,26.0,nan,nan,nan,467.0,463.0,535.0
54276917,54275053,6684682,1998.1315,1.9513003,87.740486,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,432.0,462.0,500.0
54407761,54405695,6684682,1998.1315,1.9513003,87.74845,nan,nan,nan,35.123405,nan,nan,nan,nan,nan,nan,nan,25.0,nan,nan,nan,16.0,nan,nan,nan,nan,nan,nan,nan,528.0,492.0,448.0
54533890,54533334,6684682,1998.1315,1.9513003,nan,nan,nan,nan,87.70582,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.0,nan,nan,nan,nan,nan,nan,nan,496.0,484.0,486.0
54664376,54660973,6684682,1998.1315,1.9513003,nan,nan,nan,nan,87.80851,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.0,nan,nan,nan,nan,nan,nan,nan,485.0,445.0,463.0
55047633,55046893,6684682,1998.1315,1.9513003,nan,nan,nan,nan,85.85721,nan,nan,nan,89.75176,nan,nan,nan,nan,nan,nan,nan,17.0,nan,nan,nan,17.0,nan,nan,nan,443.0,485.0,516.0
55178233,55176034,6684682,1998.1315,1.9513003,nan,nan,nan,nan,nan,nan,nan,nan,87.612236,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25.0,nan,nan,nan,470.0,470.0,476.0
55304553,55303672,6684682,1998.1315,1.9513003,nan,nan,nan,nan,nan,nan,nan,nan,87.70165,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25.0,nan,nan,nan,478.0,488.0,509.0
55434636,55431311,6684682,1998.1315,1.9513003,nan,nan,nan,nan,nan,nan,nan,nan,87.545105,38.80828,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25.0,16.0,nan,nan,467.0,471.0,501.0
55561326,55560499,6684682,1998.1315,1.9513003,nan,nan,nan,nan,nan,nan,nan,nan,86.01649,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,20.0,nan,nan,nan,466.0,453.0,514.0
55691421,55688136,6684682,1998.1315,1.9513003,nan,nan,nan,nan,nan,nan,nan,nan,86.10378,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,32.0,nan,nan,nan,465.0,497.0,538.0
55813086,55812726,6684682,1998.1315,1.9513003,54.854134,nan,nan,nan,nan,nan,nan,nan,86.10378,nan,nan,nan,16.0,nan,nan,nan,nan,nan,nan,nan,32.0,nan,nan,nan,489.0,497.0,538.0
55817799,55815775,6684682,1998.1315,1.9513003,54.854134,nan,nan,nan,nan,nan,nan,nan,86.132835,nan,nan,nan,16.0,nan,nan,nan,nan,nan,nan,nan,25.0,nan,nan,nan,489.0,480.0,501.0
55948282,55944870,6684682,1998.1315,1.9513003,nan,nan,nan,nan,nan,nan,nan,nan,86.23048,87.62414,76.10071,nan,nan,nan,nan,nan,nan,nan,nan,nan,25.0,17.0,13.0,nan,457.0,492.0,562.0
56074672,56072509,6684682,1998.1315,1.9513003,nan,nan,nan,nan,nan,nan,nan,nan,87.74093,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,32.0,nan,nan,nan,488.0,476.0,529.0
56200894,56200150,6684682,1998.1315,1.9513003,85.982834,nan,nan,nan,nan,nan,nan,nan,87.73463,38.860085,nan,nan,17.0,nan,nan,nan,nan,nan,nan,nan,16.0,10.0,nan,nan,495.0,451.0,475.0
56326661,56326332,6684682,1998.1315,1.9513003,85.92968,nan,nan,nan,nan,nan,nan,nan,87.73463,38.860085,nan,nan,25.0,nan,nan,nan,nan,nan,nan,nan,16.0,10.0,nan,nan,460.0,451.0,475.0
56331334,56329291,6684682,1998.1315,1.9513003,85.92968,nan,nan,nan,nan,nan,nan,nan,46.831207,nan,nan,nan,25.0,nan,nan,nan,nan,nan,nan,nan,10.0,nan,nan,nan,460.0,466.0,462.0
56457700,56456928,6684682,1998.1315,1.9513003,nan,nan,nan,nan,nan,nan,nan,nan,33.062557,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.0,nan,nan,nan,469.0,511.0,513.0
