timestamp,nav_state_timestamp,failsafe_timestamp,armed_time,takeoff_time,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,vehicle_type,is_vtol,is_vtol_tailsitter,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,data_link_lost_counter,high_latency_data_link_lost,engine_failure,mission_failure,geofence_violated,failure_detector_status,latest_arming_reason,latest_disarming_reason
102631726,102532934,0,102431119,0,304152620,304152588,304152591,14,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0
103141686,102532934,0,102431119,0,304152620,304152588,304152591,14,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0
103647694,102532934,0,102431119,0,304152620,304152588,304152591,14,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0
104153841,102532934,0,102431119,0,304152620,304152588,304152591,14,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0
104659668,102532934,0,102431119,0,304152620,304152588,304152591,14,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0
105166238,102532934,0,102431119,0,304152620,304152588,304152591,14,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0
105638714,102532934,0,102431119,0,304152620,304152588,304152591,14,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0
106144683,102532934,0,102431119,0,304152620,304152588,304152591,14,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0
106639800,102532934,0,102431119,0,304152620,304152588,304152591,14,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0
106650669,102532934,0,102431119,0,304152620,304152588,304152591,14,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0
107156673,102532934,0,102431119,0,304152620,304152588,304152591,14,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0
107662666,102532934,0,102431119,0,304152620,304152588,304152591,14,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0
108168668,102532934,0,102431119,0,304152620,304152588,304152591,14,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0
108674665,102532934,0,102431119,108344678,304152620,304152588,304152591,14,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0
109181110,102532934,0,102431119,108344678,304152620,304152588,304152591,14,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0
109686695,102532934,0,102431119,108344678,304152620,304152588,304152591,14,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0
110192950,102532934,0,102431119,108344678,304152620,304152588,304152591,14,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0
110698693,102532934,0,102431119,108344678,304152620,304152588,304152591,14,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0
111204715,102532934,0,102431119,108344678,304152620,304152588,304152591,14,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0
111644702,102532934,0,102431119,108344678,304152620,304152588,304152591,14,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0
111655681,102532934,0,102431119,108344678,304152620,304152588,304152591,14,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0
111677678,102532934,0,102431119,108344678,304152620,304152588,304152591,14,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0
112183684,102532934,0,102431119,108344678,304152620,304152588,304152591,14,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0
112689669,102532934,0,102431119,108344678,304152620,304152588,304152591,14,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0
113195681,102532934,0,102431119,108344678,304152620,304152588,304152591,14,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0
113701666,102532934,0,102431119,108344678,304152620,304152588,304152591,14,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0
114207667,102532934,0,102431119,108344678,304152620,304152588,304152591,14,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0
114713673,102532934,0,102431119,108344678,304152620,304152588,304152591,14,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0
115219681,102532934,0,102431119,108344678,304152620,304152588,304152591,14,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0
115725672,102532934,0,102431119,108344678,304152620,304152588,304152591,14,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0
116232725,102532934,0,102431119,108344678,304152620,304152588,304152591,14,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0
116661713,102532934,0,102431119,108344678,304152620,304152588,304152591,14,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0
116672707,102532934,0,102431119,108344678,304152620,304152588,304152591,14,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0
117178668,102532934,0,102431119,108344678,304152620,304152588,304152591,14,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0
117684682,102532934,0,102431119,108344678,304152620,304152588,304152591,14,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0
