timestamp,accel_device_id,gyro_device_id
57000,1310988,1310988
601000,1310988,1310988
5353000,1310996,1310996
5372000,1310988,1310988
5429000,1310996,1310996
5457000,1310988,1310988
5469000,1310996,1310996
5521000,1310988,1310988
5624000,1310996,1310996
5752000,1310988,1310988
5785000,1311004,1311004
5801000,1310988,1310988
5812000,1311004,1311004
5901000,1310988,1310988
6024000,1311004,1311004
6036000,1310988,1310988
6113000,1310996,1310996
17465000,1310988,1310988
17465000,1311004,1311004
18081000,1310988,1310988
18096000,1311004,1311004
18101000,1310996,1310996
18120000,1311004,1311004
23529000,1310988,1310988
24344000,1311004,1311004
25257000,1310988,1310988
26146000,1311004,1311004
29821000,1310988,1310988
32895000,1310996,1310996
34030000,1310988,1310988
35324000,1310988,1310988
36648000,1310988,1310988
37448000,1311004,1311004
40053000,1310996,1310996
40085000,1310988,1310988
41673000,1311004,1311004
47868000,1310996,1310996
