timestamp,timestamp_sample,lat,lon,alt,alt_ellipsoid,delta_alt,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
225000,0,28.142958,112.983711,50.795,0.0,0.0,0.0,0.0,0.0,0,0,0,0
229000,0,28.142958,112.983711,50.795,0.0,0.0,0.0,0.0,0.0,0,0,0,0
329000,0,28.142958,112.983711,50.795,0.0,0.0,0.0,0.0,0.0,0,0,0,0
429000,0,28.142958,112.983711,50.795,0.0,0.0,0.0,0.0,0.0,0,0,0,0
525000,0,28.142958,112.983711,50.795,0.0,0.0,0.0,0.0,0.0,0,0,0,0
628000,0,28.142958,112.983711,50.795,0.0,0.0,0.0,0.0,0.0,0,0,0,0
725000,0,28.142958,112.983711,50.795,0.0,0.0,0.0,0.0,0.0,0,0,0,0
829000,0,28.142958,112.983711,50.795,0.0,0.0,0.0,0.0,0.0,0,0,0,0
925000,0,28.142958,112.983711,50.795,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1025000,0,28.142958,112.983711,50.795,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1125000,0,28.142958,112.983711,50.795,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1229000,0,28.142958,112.983711,50.795,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1328000,0,28.142958,112.983711,50.795,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1429000,0,28.142958,112.983711,50.795,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1525000,0,28.142958,112.983711,50.795,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1625000,0,28.142958,112.983711,50.795,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1729000,0,28.142958,112.983711,50.795,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1825000,0,28.142958,112.983711,50.795,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1925000,0,28.142958,112.983711,50.795,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2028000,0,28.142958,112.983711,50.795,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2125000,0,28.142958,112.983711,50.795,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2228000,0,28.142958,112.983711,50.795,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2325000,0,28.142958,112.983711,50.795,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2425000,0,28.142958,112.983711,50.795,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2525000,0,28.142958,112.983711,50.795,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2628000,0,28.142958,112.983711,50.795,0.0,0.0,0.0,0.0,0.0,0,0,0,0
