timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,is_external
29353389,29352449,396809,0.5568182,0.26590908,0.79696965,nan,0,1
29374694,29373732,396809,0.5590909,0.26439393,0.79999995,nan,0,1
30355795,30354854,396809,0.5371212,0.23484848,0.81439394,nan,0,1
31358480,31357539,396809,0.5530303,0.23030302,0.7424242,nan,0,1
32360707,32359766,396809,0.5840909,0.1840909,0.80606055,nan,0,1
33341490,33340550,396809,0.5924242,0.19469696,0.81666666,nan,0,1
34343969,34343029,396809,0.55757576,0.24242423,0.69166666,nan,0,1
35346535,35345595,396809,0.47954544,0.21818182,0.84696966,nan,0,1
36348734,36347793,396809,0.49242422,0.23787878,0.85984844,nan,0,1
37351516,37350576,396809,0.50757575,0.29772726,0.7439394,nan,0,1
38353801,38352859,396809,0.5007576,0.2340909,0.80606055,nan,0,1
39356443,39355503,396809,0.5030303,0.27196968,0.7659091,nan,0,1
40358899,40357932,396809,0.49999997,0.26742423,0.8181818,nan,0,1
41361222,41360281,396809,0.5007576,0.26363635,0.8704545,nan,0,1
42342721,42341781,396809,0.49696967,0.29772726,0.73484844,nan,0,1
43345183,43344243,396809,0.5007576,0.24393938,0.7643939,nan,0,1
44347556,44346616,396809,0.5090909,0.28333333,0.7363636,nan,0,1
45350239,45349299,396809,0.5143939,0.32348484,0.71893936,nan,0,1
46352496,46351555,396809,0.525,0.2992424,0.74090904,nan,0,1
47355476,47354536,396809,0.54393935,0.27196968,0.83484846,nan,0,1
48357609,48356669,396809,0.5333333,0.29469696,0.8181818,nan,0,1
49359863,49358911,396809,0.5431818,0.24924241,0.85075754,nan,0,1
50362444,50361504,396809,0.5507576,0.25378788,0.8522727,nan,0,1
51343470,51342530,396809,0.5628788,0.22878787,0.77878785,nan,0,1
52346012,52345072,396809,0.57954544,0.33787876,0.77878785,nan,0,1
53348623,53347669,396809,0.5954545,0.26590908,0.8272727,nan,0,1
54350789,54349849,396809,0.60984844,0.31136364,0.72575754,nan,0,1
55353619,55352679,396809,0.57575756,0.27954546,0.8219697,nan,0,1
56355811,56354871,396809,0.5772727,0.29242423,0.6643939,nan,0,1
57357944,57357004,396809,0.5719697,0.26363635,0.70378786,nan,0,1
58360611,58359670,396809,0.5681818,0.1840909,0.7659091,nan,0,1
59341634,59340692,396809,0.58257574,0.24621211,0.6696969,nan,0,1
60344150,60343210,396809,0.5621212,0.22348484,0.75151515,nan,0,1
61346916,61345976,396809,0.575,0.27954546,0.7962121,nan,0,1
62349109,62348170,396809,0.5719697,0.2530303,0.76363635,nan,0,1
63352064,63351122,396809,0.58787876,0.21969697,0.7689394,nan,0,1
