timestamp,mag_inconsistency_angle
500000,0.0
1000000,0.0
1500000,0.0
2000000,0.0
2496000,0.0
3000000,0.0
3504000,0.0
4000000,0.0
4499000,0.0
4999000,0.0
5500000,0.0
6000000,0.0
6500000,0.0
7000000,0.0
7500000,0.0
8000000,0.0
8504000,0.0
9004000,0.0
9500000,0.0
10004000,0.0
10507000,0.0
11004000,0.0
11500000,0.0
12000000,0.0
12500000,0.0
13000000,0.0
13500000,0.0
14000000,0.0
14500000,0.0
15000000,0.0
15500000,0.0
16000000,0.0
16500000,0.0
17000000,0.0
17496000,0.0
17652000,0.0
42024000,0.0
42032000,0.0
42524000,1.3084054e-08
