timestamp,saturation_status
1001000,1529
2001000,1529
3001000,1529
4004000,1533
5002000,1533
6001000,1533
7000000,1533
7996000,1533
9001000,1533
9997000,1533
11004000,1533
12001000,1529
13001000,1533
14004000,1533
15001000,1533
16001000,1533
17001000,1533
17995000,1533
19002000,1
19998000,1
21001000,1
22002000,1
23004000,1
23997000,1
25002000,1
26000000,1
27001000,1
28005000,1
28996000,1
29996000,1
30997000,1
32002000,1
32998000,1
33997000,1
35002000,1
35998000,1
37000000,1
38003000,1
38998000,1
40001000,1
41001000,1533
41997000,1533
42997000,1529
