timestamp,mag_inconsistency_angle
497000,0.0
1000000,0.0
1501000,0.0
2000000,0.0
2508000,0.0
2997000,0.0
3500000,0.0
4000000,0.0
4504000,0.0
5005000,0.0
5503000,0.0
6001000,0.0
6493000,0.0
7001000,0.0
7501000,0.0
8004000,0.0
8501000,0.0
9000000,0.0
9507000,0.0
10001000,0.0
10501000,0.0
11000000,0.0
11504000,0.0
12001000,0.0
12500000,0.0
13007000,0.0
13504000,0.0
14006000,0.0
14501000,0.0
15004000,0.0
15501000,0.0
16001000,0.0
16503000,0.0
17004000,0.0
17501000,0.0
17999000,0.0
18500000,0.0
18971000,0.0
45744000,0.0
45749000,0.0
46244000,7.820592e-06
