timestamp,speed_xy,speed_up,speed_down,want_takeoff
11584000,5.0,3.0,1.0,0
11604000,5.0,3.0,1.0,0
12584000,5.0,3.0,1.0,0
13584000,5.0,3.0,1.0,0
14584000,5.0,3.0,1.0,0
15576000,5.0,3.0,1.0,0
16576000,5.0,3.0,1.0,0
17588000,5.0,3.0,1.0,0
18588000,5.0,3.0,1.0,0
19588000,5.0,3.0,1.0,0
20584000,5.0,3.0,1.0,0
21580000,5.0,3.0,1.0,0
22576000,5.0,3.0,1.0,0
22884000,5.0,3.0,1.0,0
54592000,5.0,3.0,1.0,0
54613000,5.0,3.0,1.0,0
55573000,5.0,3.0,1.0,0
56573000,5.0,3.0,1.0,0
57592000,5.0,3.0,1.0,0
58588000,5.0,3.0,1.0,0
59568000,5.0,3.0,1.0,0
