timestamp,total_written_kb,write_rate_kb_s,dropouts,message_gaps,buffer_used_bytes,buffer_size_bytes,type,backend,num_messages
1000000,105.71289,134.15341,0,6,9172,1024000,0,3,253
2000000,162.72461,91.009285,0,103,7220,1024000,0,3,253
3000000,218.31348,78.30469,0,192,7124,1024000,0,3,253
4000000,274.6172,72.49662,0,274,6406,1024000,0,3,253
5000000,329.3623,68.789116,0,367,7498,1024000,0,3,253
6000000,372.0537,64.28018,0,449,21978,1024000,0,3,253
7000000,444.9707,65.55254,0,539,7423,1024000,0,3,253
8000000,504.52637,64.78253,0,620,7174,1024000,0,3,253
9001000,563.8252,64.15124,0,703,9523,1024000,0,3,253
10004000,633.74023,64.7202,0,767,250,1024000,0,3,253
11004000,696.9463,64.5799,0,846,171,1024000,0,3,253
12004000,750.83594,63.673336,0,926,12965,1024000,0,3,253
13008000,817.65234,63.89906,0,1007,11245,1024000,0,3,253
14008000,894.8262,64.861275,0,1101,244,1024000,0,3,253
15008000,959.1875,64.82749,0,1161,340,1024000,0,3,253
16012000,1026.1006,64.94308,0,1224,919,1024000,0,3,253
17012000,1091.1455,64.949135,0,1288,985,1024000,0,3,253
18016000,1156.417,64.95265,0,1352,919,1024000,0,3,253
19016000,1222.8633,65.03208,0,1407,1127,1024000,0,3,253
20020000,1288.5098,65.04997,0,1492,1209,1024000,0,3,253
21021000,1354.1055,65.07307,0,1549,1363,1024000,0,3,253
22023000,1418.6787,65.04418,0,1624,1442,1024000,0,3,253
23024000,1484.3564,65.06911,0,1710,1618,1024000,0,3,253
24057000,1547.2148,64.886345,0,1775,2204,1024000,0,3,253
25062000,1609.7725,64.77957,0,1831,4642,1024000,0,3,253
26062000,1677.6562,64.89966,0,1887,4437,1024000,0,3,253
27062000,1744.5859,64.97527,0,1933,4356,1024000,0,3,253
28062000,1806.0801,64.85027,0,1999,3529,1024000,0,3,253
29066000,1873.1152,64.91701,0,2039,2704,1024000,0,3,253
30066000,1939.1855,64.955635,0,2094,3623,1024000,0,3,253
31069000,2004.1504,64.949615,0,2157,1454,1024000,0,3,253
32069000,2061.9834,64.72623,0,2213,4015,1024000,0,3,253
33070000,2124.3809,64.65338,0,2261,4228,1024000,0,3,253
34070000,2187.2764,64.60146,0,2307,4215,1024000,0,3,253
35074000,2250.8682,64.565094,0,2361,4478,1024000,0,3,253
36074000,2319.2979,64.67285,0,2414,158,1024000,0,3,253
37078000,2378.5127,64.517784,0,2480,4136,1024000,0,3,253
38078000,2445.621,64.5862,0,2532,656,1024000,0,3,253
39078000,2506.792,64.49833,0,2614,1834,1024000,0,3,253
40078000,2570.4297,64.47674,0,2667,328,1024000,0,3,253
41080000,2634.2178,64.45673,0,2726,534,1024000,0,3,253
42087000,2697.9492,64.428635,0,2780,591,1024000,0,3,253
43087000,2761.8438,64.41618,0,2840,807,1024000,0,3,253
44087000,2821.2158,64.301216,0,2910,4637,1024000,0,3,253
45087000,2888.207,64.36116,0,2973,638,1024000,0,3,253
46087000,2951.21,64.33155,0,3043,713,1024000,0,3,253
47092000,3013.8047,64.28764,0,3099,754,1024000,0,3,253
48095000,3076.0703,64.24139,0,3169,286,1024000,0,3,253
49096000,3140.8018,64.2501,0,3226,1409,1024000,0,3,253
50101000,3204.5967,64.234535,0,3271,348,1024000,0,3,253
51101000,3266.671,64.192085,0,3327,1023,1024000,0,3,253
52101000,3330.1064,64.1775,0,3384,1061,1024000,0,3,253
