timestamp,voltage5v_v,sensors3v3[0],sensors3v3[1],sensors3v3[2],sensors3v3[3],sensors3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc,comp_5v_valid,can1_gps1_5v_valid
56305163,5.1811247,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
56315164,5.180017,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
56805161,5.1770964,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
57305163,5.193713,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
57805161,5.169946,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
58305161,5.1529264,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
58805188,5.165515,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
59305164,5.171658,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
59805161,5.181024,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
60305161,5.1759887,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
60805199,5.1803193,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
61305162,5.1690397,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
61805161,5.1602783,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
62305163,5.178003,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
62805230,5.1643066,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
63305163,5.172061,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
63805160,5.1864624,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
64305175,5.1867642,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
64805398,5.1698456,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
65305162,5.1813264,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
65805247,5.1735716,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
66305163,5.1766934,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
66805161,5.1701474,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
67305161,5.159674,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
67805161,5.171658,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
68305163,5.173672,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
68805159,5.1797147,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
69305158,5.179816,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
69805160,5.1757874,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
70305164,5.18042,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
70805162,5.172061,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
71305160,5.1666226,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
71805158,5.1532288,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
72305160,5.173874,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
72805161,5.1842465,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
73305160,5.1781034,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
73805164,5.171356,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
74305161,5.1753845,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
74805161,5.172464,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
75305247,5.1815276,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
75805162,5.172061,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
76305179,5.1492004,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
76805162,5.1672273,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
77305160,5.1731687,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
77805160,5.1826353,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
78305160,5.1843476,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
78805164,5.174075,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
79305160,5.166522,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
79805162,5.1632996,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
80305162,5.16058,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
80805163,5.1628966,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
81305162,5.1678314,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
81805250,5.1680326,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
82305160,5.1719604,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
82805228,5.1600766,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
83305164,5.1682343,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
83805164,5.1608825,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
84305161,5.169946,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
84805162,5.1741757,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
85305164,5.162192,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
85805162,5.139029,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0
