timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
212000,212000,-0.011782785,0.020061793,-9.773763
220000,220000,-0.019374333,0.02247297,-9.740001
260000,260000,0.007764913,0.032194108,-9.719083
308000,308000,-0.041242003,0.039780896,-9.767981
361000,361000,-0.0091498075,0.032139163,-9.784849
412000,412000,-0.051061254,0.027974803,-9.705844
468000,468000,-0.02447493,0.024628855,-9.877084
508000,508000,-0.025311578,-0.03876398,-9.751519
564000,564000,-0.00077418354,-0.007983747,-9.735276
612000,612000,0.00656943,0.010051592,-9.737366
668000,668000,0.0414067,-0.0068960516,-9.782368
708000,708000,0.0063695386,-0.014797391,-9.828037
764000,764000,0.02790422,0.015427491,-9.840387
812000,812000,0.0095099965,-0.017351605,-9.770805
868000,868000,0.0019380783,0.021163253,-9.732262
912000,912000,-0.014310457,-0.0014961003,-9.90419
964000,964000,-0.067425594,-0.020502891,-9.72595
1012000,1012000,0.021566108,0.08074443,-9.702755
1064000,1064000,-0.011807078,-0.029936474,-9.792553
1112000,1112000,0.012010516,0.024003912,-9.937645
1164000,1164000,0.031719513,-0.024792582,-9.849537
1212000,1212000,0.037047464,-0.00067718234,-9.954784
1260000,1260000,0.040137295,-0.016187867,-9.890259
1316000,1316000,-0.045252845,-0.005581664,-9.755607
1364000,1364000,-0.030267641,0.006156427,-9.80109
1412000,1412000,0.0042691743,-0.023192652,-9.81542
1468000,1468000,-0.011056305,0.009115271,-9.884802
1512000,1512000,-0.0019414551,-0.017188333,-9.785601
1565000,1565000,-0.0027153464,0.03254972,-9.870522
1612000,1612000,0.011554508,0.0040436536,-9.793374
1660000,1660000,-0.009300769,-0.013646498,-9.875269
1708000,1708000,0.01543204,-0.025370955,-9.730221
1764000,1764000,-0.016579315,0.016749915,-9.785813
1808000,1808000,0.0066942703,-0.014651853,-9.861849
1864000,1864000,0.035459105,0.008781068,-9.853781
1912000,1912000,-0.05942604,-0.05613385,-9.804607
1964000,1964000,0.0050756126,-0.009688434,-9.75481
2008000,2008000,0.057469442,-0.011813993,-9.847508
2060000,2060000,0.00083294604,0.025370209,-9.860704
2112000,2112000,-0.072460294,-0.022526776,-9.735779
2156000,2156000,-0.036894586,-0.01862086,-9.84582
2212000,2212000,-0.05839496,0.03296604,-9.773212
2264000,2264000,0.022756178,0.0031701308,-9.790768
2316000,2316000,-0.024230931,-0.024522558,-9.82448
2368000,2368000,0.003762681,-0.016712781,-9.679185
2412000,2412000,-0.02000919,0.0058879117,-9.819325
2460000,2460000,-0.02191442,0.019674256,-9.8366785
2512000,2512000,-0.0018570842,-0.032399304,-9.833499
2564000,2564000,-0.006156838,0.010260963,-9.748213
2608000,2608000,0.018961718,0.039305635,-9.689268
2660000,2660000,-0.030635811,0.0004396256,-9.81043
2712000,2712000,0.017471287,-0.0046600187,-9.740919
2764000,2764000,-0.034473818,0.0013267085,-9.769255
2808000,2808000,-0.0061871796,-0.022970697,-9.82438
2868000,2868000,0.03504936,-0.017447742,-9.785247
2912000,2912000,-0.01573674,0.023151297,-9.660309
2964000,2964000,-0.006326915,-0.049713783,-9.737283
3012000,3012000,0.039948717,-0.028188463,-9.767008
3064000,3064000,-0.009163082,0.037904702,-9.769901
3112000,3112000,-0.030131932,-0.0138496235,-9.756521
3168000,3168000,-0.025348667,0.023230901,-9.767626
3212000,3212000,0.028351711,0.047708366,-9.882111
3268000,3268000,-0.013683475,0.0143708745,-9.786471
3308000,3308000,0.040354352,0.019766571,-9.847937
3361000,3361000,0.015629413,0.011221292,-9.82291
3412000,3412000,0.04268258,0.01642262,-9.788647
3460000,3460000,-0.012662643,-0.01619127,-9.818374
3512000,3512000,0.053429056,-0.016064059,-9.752087
3564000,3564000,0.0068554087,0.0073705306,-9.732485
3612000,3612000,-0.049666088,-0.020113718,-9.8997555
3664000,3664000,-0.025900936,-0.0057741823,-9.869049
3712000,3712000,0.001797073,0.0035775737,-9.829453
3764000,3764000,0.03337834,0.014640434,-9.880068
3812000,3812000,-0.02818147,-0.008751411,-9.819084
3864000,3864000,0.004721194,0.0086269975,-9.850496
3912000,3912000,0.004910853,-0.032089256,-9.8641615
3964000,3964000,-0.000316008,0.010658895,-9.8057785
4012000,4012000,-0.015162829,-0.021649659,-9.871249
4064000,4064000,0.0024925764,-0.0007577245,-9.722536
4112000,4112000,0.012299543,-0.0077260914,-9.797172
4164000,4164000,-0.0073411427,-0.005893344,-9.834879
4212000,4212000,-0.008775527,-0.040809628,-9.718683
4268000,4268000,-0.058179345,0.034213316,-9.800563
4312000,4312000,0.021776188,-0.018271692,-9.877086
4360000,4360000,-0.0442248,-0.028507277,-9.845966
4412000,4412000,-0.046770833,-0.03570383,-9.729041
4464000,4464000,-0.055188257,-0.036752954,-9.823696
4504000,4504000,0.009950996,0.05510782,-9.692363
4560000,4560000,0.0149886,0.043352325,-9.826832
4612000,4612000,-0.0063149314,0.014110857,-9.765881
4664000,4664000,0.0004042238,-0.06891554,-9.796999
4708000,4708000,0.04808819,0.007641942,-9.745264
4764000,4764000,-0.027027512,-0.030143183,-9.801296
4812000,4812000,-0.0006346721,-0.010269273,-9.828967
4860000,4860000,0.028044617,-0.0018593264,-9.807629
4908000,4908000,-0.009531118,-0.045331255,-9.734864
4964000,4964000,-0.014549818,-0.010023827,-9.75543
5012000,5012000,-0.02334062,0.0039750882,-9.80313
5064000,5064000,-0.019193463,0.025403142,-9.716983
5116000,5116000,0.0004866724,0.017994843,-9.782282
5164000,5164000,-0.004618259,-0.013299456,-9.778853
5216000,5216000,0.0047176443,0.066483274,-9.809153
5264000,5264000,0.009583592,-0.047699645,-9.698429
5304000,5304000,0.002034855,0.0046632867,-9.801195
5364000,5364000,0.020396389,-0.013205548,-9.807435
5412000,5412000,0.03738018,0.026889727,-9.878283
5468000,5468000,0.028591549,-0.023147576,-9.772886
5516000,5516000,0.015358705,-0.013177395,-9.82438
5564000,5564000,0.006402864,0.019809835,-9.735078
5616000,5616000,0.0062459013,-0.030953202,-9.787721
5665000,5665000,-0.0032147763,0.015816143,-9.793931
5716000,5716000,-0.009289747,-0.0071745734,-9.723487
5764000,5764000,0.04572387,-0.027050117,-9.72792
5816000,5816000,0.002252875,-0.00837505,-9.752085
5864000,5864000,-0.05115022,0.004693188,-9.728298
5912000,5912000,-0.023757555,0.026838688,-9.8794365
5964000,5964000,-0.03764906,0.0025195975,-9.783518
6012000,6012000,-0.061641045,0.0044330885,-9.766165
6064000,6064000,-0.042840354,0.017162118,-9.842871
6112000,6112000,0.026662853,-0.029143775,-9.778013
6168000,6168000,0.028492242,-0.001228122,-9.762157
6212000,6212000,-0.03016779,0.036764465,-9.789422
6264000,6264000,-0.022283973,-0.015216995,-9.768403
6308000,6308000,0.0030841392,0.00095299236,-9.7683525
6364000,6364000,0.009474755,0.0402976,-9.786514
6413000,6413000,0.0115902005,-0.013803046,-9.766101
6464000,6464000,0.003198473,-0.027154632,-9.791037
6512000,6512000,0.014279177,0.011927884,-9.748317
6564000,6564000,-0.023332933,-0.015827378,-9.789016
6612000,6612000,-0.02330059,0.024778187,-9.7558775
6664000,6664000,-0.040803485,0.003850788,-9.8047495
6712000,6712000,-0.012805914,-0.009417595,-9.802494
6764000,6764000,0.043795563,-0.015899315,-9.641799
6812000,6812000,-0.021896623,-0.03215365,-9.779927
6864000,6864000,-0.0054376256,-0.003592899,-9.888923
6912000,6912000,0.005059858,0.0096902065,-9.841822
6960000,6960000,0.03541752,0.013897235,-9.804987
7012000,7012000,-0.012845809,-0.0043098563,-9.796923
7064000,7064000,0.015326731,-0.041280515,-9.779354
7116000,7116000,-0.017166631,-0.00511304,-9.710634
7164000,7164000,0.047783587,-0.0011709444,-9.73822
7208000,7208000,0.022101998,0.021241944,-9.8870325
7264000,7264000,0.03477191,0.014178899,-9.719744
7312000,7312000,0.0024017105,0.0231681,-9.742117
7364000,7364000,0.016194843,0.059917945,-9.704142
7408000,7408000,0.011775215,0.02531825,-9.754511
7464000,7464000,0.006065045,0.0074859094,-9.871924
7508000,7508000,-0.04090581,-0.025564857,-9.831903
7560000,7560000,0.07029185,0.025516167,-9.782318
7608000,7608000,0.04185045,0.0093124695,-9.818846
7668000,7668000,0.04675968,0.024294253,-9.78567
7708000,7708000,0.021214522,-0.016390817,-9.8574295
7760000,7760000,0.0032981778,0.029127443,-9.773383
7812000,7812000,0.046973914,-0.015651284,-9.830106
7860000,7860000,0.014982073,-0.03280183,-9.745888
7912000,7912000,-0.009727736,-0.036076248,-9.856849
7964000,7964000,-0.026438763,0.039199628,-9.7553425
8012000,8012000,0.0130097335,0.026809324,-9.782605
8060000,8060000,0.0013316347,0.050233845,-9.821798
8112000,8112000,0.028422795,0.031054188,-9.781783
8164000,8164000,0.01048716,-0.028004915,-9.767294
8212000,8212000,-0.013924462,-0.03710844,-9.890644
8260000,8260000,-0.017181799,0.036318425,-9.808012
8312000,8312000,0.02681704,0.021141686,-9.851424
8356000,8356000,-0.025312843,0.044382453,-9.796258
8408000,8408000,0.010540953,0.045499578,-9.762329
8460000,8460000,0.027724676,0.009084055,-9.777928
8504000,8504000,-0.023856252,-0.0121285645,-9.844969
8560000,8560000,-0.0050530517,0.00611859,-9.734122
8612000,8612000,-0.006889245,0.0048735747,-9.852417
8664000,8664000,-0.02128908,0.014658313,-9.7916975
8708000,8708000,0.0017289072,-0.021262927,-9.732143
8760000,8760000,0.004874612,0.0018553487,-9.803071
8813000,8813000,0.037948888,-0.013933318,-9.791679
8864000,8864000,-0.008396408,0.024782177,-9.7172165
8916000,8916000,0.026066005,-0.002822534,-9.777692
8964000,8964000,0.016222661,0.008712517,-9.741501
9016000,9016000,0.003250405,0.010945297,-9.814368
9064000,9064000,0.019958943,-0.006721242,-9.828015
9116000,9116000,-0.04566549,-0.028356276,-9.839171
9168000,9168000,0.0020915861,0.024512896,-9.738474
9212000,9212000,0.023708139,-0.008376328,-9.882504
9256000,9256000,0.04817091,0.0031196144,-9.791477
9308000,9308000,0.018713852,0.0052952496,-9.822655
9360000,9360000,0.026380794,0.0076067327,-9.772959
9408000,9408000,0.022235416,0.019841192,-9.8385315
9464000,9464000,-0.015713967,-0.041208748,-9.822693
9512000,9512000,0.019916289,0.0017403513,-9.784693
9564000,9564000,0.016859157,-0.051332477,-9.735252
9608000,9608000,0.021176847,-0.035923064,-9.805036
9664000,9664000,0.0019470596,0.007777001,-9.744205
9704000,9704000,0.043364584,0.03602879,-9.759151
9764000,9764000,-0.02335811,0.043350067,-9.813954
9808000,9808000,0.002430092,0.012687959,-9.81529
9860000,9860000,0.046182007,0.003267201,-9.738592
9908000,9908000,0.011412055,-0.019332016,-9.913891
9960000,9960000,0.04045517,0.04544956,-9.869667
