timestamp,timestamp_sample,hover_thrust,hover_thrust_var,accel_innov,accel_innov_var,accel_innov_test_ratio,accel_noise_var,valid
29430000,29430000,0.5176931,0.00016297615,0.3174922,3.6384163,0.0030783017,3.5590389,0
29438000,29438000,0.5175843,0.00016037894,0.1283787,3.6166933,0.00050632784,3.5451028,0
29530000,29530000,0.5173488,0.00013982093,-0.23703626,3.45988,0.0018043717,3.3899338,0
29646000,29646000,0.5197222,0.0001198556,-0.19955456,3.273753,0.0013515587,3.2081232,0
29731000,29731000,0.5162747,0.0001068108,0.37594873,3.1457653,0.0049921586,3.0910609,0
29838000,29838000,0.51691794,9.3833165e-05,-0.2365964,2.9797246,0.0020873614,2.9344919,0
29930000,29930000,0.5176199,8.4880994e-05,0.804219,2.857057,0.02515285,2.812829,0
30030000,30030000,0.5163754,7.72599e-05,-0.11064233,2.7243679,0.00049926876,2.6821322,0
30132000,30132000,0.5177098,6.9226546e-05,-0.38607383,2.589846,0.006394761,2.5540073,0
30240000,30240000,0.51632524,6.297709e-05,0.29039288,2.4711158,0.0037917206,2.4319994,0
30332000,30332000,0.5167792,5.8067053e-05,-0.22287422,2.356937,0.002341689,2.3258343,0
30439000,30439000,0.51856244,5.2709278e-05,-0.29273197,2.2411432,0.004248427,2.2132068,0
30527000,30527000,0.5165379,4.886282e-05,0.44334233,2.157237,0.010123671,2.1308043,0
30627000,30627000,0.5165752,4.4754717e-05,-0.20714352,2.0541825,0.0023209252,2.0301666,0
30727000,30727000,0.5173669,4.1392443e-05,0.6991943,1.9631543,0.027669342,1.9399134,0
30830000,30830000,0.5161255,3.8420123e-05,-0.10210541,1.8764582,0.0006173282,1.8526962,1
30927000,30927000,0.51699907,3.5618617e-05,-0.15102443,1.7906829,0.0014152501,1.7695401,1
31039000,31039000,0.51552135,3.2897675e-05,0.30044213,1.7073569,0.0058742827,1.686473,1
31132000,31132000,0.5157242,3.091184e-05,-0.19176748,1.6326554,0.0025027238,1.6120995,1
31234000,31234000,0.51697564,2.8862514e-05,-0.31927598,1.5559071,0.0072795795,1.5395335,1
31330000,31330000,0.51555675,2.7004822e-05,0.26008904,1.4930185,0.005034269,1.477583,1
31432000,31432000,0.5159978,2.5318795e-05,-0.24709061,1.4218347,0.0047711255,1.406679,1
31530000,31530000,0.51575214,2.3751367e-05,0.24750555,1.3647513,0.0049873954,1.3490388,1
31640000,31640000,0.51586705,2.2188427e-05,-0.24869782,1.2923359,0.005317727,1.2789129,1
31738000,31738000,0.51625115,2.0862217e-05,0.6943777,1.2346128,0.04339286,1.223987,1
31843000,31843000,0.51566595,1.9651874e-05,-0.15183355,1.1813586,0.0021682594,1.1669425,1
31937000,31937000,0.51652336,1.851708e-05,-0.37739694,1.129026,0.014016845,1.1174165,1
32029000,32029000,0.5162343,1.755946e-05,0.5666344,1.0906737,0.0327091,1.0808603,1
32138000,32138000,0.5158066,1.6496373e-05,-0.2102628,1.0368363,0.0047377506,1.0270425,1
32234000,32234000,0.51660746,1.5681575e-05,-0.24435104,1.0057127,0.0065964754,1.0,1
32327000,32327000,0.5157268,1.4855232e-05,0.17200062,1.005336,0.0032696875,1.0,1
32439000,32439000,0.51629686,1.4046542e-05,-0.24953346,1.0051068,0.006883397,1.0,1
32531000,32531000,0.51665556,1.3439443e-05,0.94754314,1.0049468,0.09926871,1.0,1
32632000,32632000,0.51585424,1.2834102e-05,-0.047194555,1.0045971,0.0002463482,1.0,1
32727000,32727000,0.5163629,1.228059e-05,-0.3570133,1.0044547,0.014099246,1.0,1
32843000,32843000,0.51605535,1.1725308e-05,0.063912764,1.0042281,0.0004519603,1.0,1
32935000,32935000,0.5163879,1.1308569e-05,-0.23489513,1.0041159,0.0061055054,1.0,1
33027000,33027000,0.5166995,1.0870887e-05,0.82017267,1.0040017,0.07444467,1.0,1
33131000,33131000,0.5159976,1.04766095e-05,-0.06858437,1.0037439,0.00052069675,1.0,1
33232000,33232000,0.5164752,1.0110474e-05,-0.39592397,1.0036721,0.017353587,1.0,1
33338000,33338000,0.5161996,9.7314e-06,0.18686259,1.0035056,0.0038661829,1.0,1
33439000,33439000,0.5162702,9.41663e-06,-0.1922735,1.003404,0.0040937425,1.0,1
33539000,33539000,0.5168713,9.117548e-06,-0.31556877,1.0033609,0.011027787,1.0,1
33630000,33630000,0.516164,8.865923e-06,0.3213088,1.0031826,0.011434646,1.0,1
33739000,33739000,0.51631063,8.581069e-06,-0.22819792,1.0030935,0.0057681883,1.0,1
33828000,33828000,0.5162646,8.359074e-06,0.77531004,1.0030229,0.06658822,1.0,1
33934000,33934000,0.51622236,8.131301e-06,-0.21433306,1.0029117,0.0050894767,1.0,1
34039000,34039000,0.5166127,7.890232e-06,0.24007002,1.0028766,0.0063853664,1.0,1
34132000,34132000,0.51625735,7.706687e-06,0.023606062,1.0027567,6.174602e-05,1.0,1
34230000,34230000,0.51654077,7.512056e-06,-0.2766515,1.0027155,0.008480976,1.0,1
34331000,34331000,0.5165162,7.3254637e-06,0.7880466,1.0026548,0.06881924,1.0,1
34439000,34439000,0.5162449,7.135399e-06,-0.1758959,1.002528,0.003429039,1.0,1
34539000,34539000,0.5166782,6.9708303e-06,-0.47609216,1.002526,0.025121402,1.0,1
34632000,34632000,0.51721025,6.8267173e-06,-0.4522321,1.002533,0.02266635,1.0,1
34740000,34740000,0.5177624,6.654016e-06,-0.29865903,1.0025071,0.009886016,1.0,1
34840000,34840000,0.51812637,6.5042277e-06,-0.26856422,1.0024607,0.0079944115,1.0,1
34939000,34939000,0.51843977,6.361115e-06,-0.2407363,1.0024071,0.0064238673,1.0,1
35027000,35027000,0.51869255,6.2379104e-06,-0.22396506,1.0023563,0.0055602705,1.0,1
