timestamp,mag_inconsistency_angle
500000,0.0
996000,0.0
1504000,0.0
2000000,0.0
2500000,0.0
3000000,0.0
3499000,0.0
3996000,0.0
4504000,0.0
5000000,0.0
5500000,0.0
5996000,3.0012314e-05
6500000,2.6783704e-07
7000000,3.6934905e-06
7500000,2.550504e-08
8000000,2.5220281e-10
8504000,2.6099706e-05
9000000,2.4517894e-07
9504000,2.4244158e-09
10000000,2.9433147e-11
10500000,3.3946102e-13
11000000,3.719348e-15
11500000,4.7530542e-17
12000000,4.24174e-19
12500000,2.4585703e-05
12996000,2.1940873e-07
13504000,1.5948493e-09
14000000,0.00032455183
14500000,3.5559929e-06
14999000,3.874311e-05
15504000,3.2846515e-07
16000000,4.197545e-09
16500000,1.09994486e-10
17000000,2.2303069e-12
17500000,1.7065005e-14
18000000,1.8697485e-16
18504000,3.7912008e-18
19004000,2.6179787e-20
19496000,2.5887497e-22
20000000,2.4318554e-24
20500000,1.8607141e-26
21004000,1.4237102e-28
21504000,0.00014524856
22000000,1.3644557e-06
22504000,1.28176065e-08
22812000,5.9050415e-10
