timestamp,saturation_status
996000,1533
2000000,1533
3000000,1533
3996000,1533
5000000,1533
5996000,1533
7000000,1533
8000000,1533
9000000,1533
10000000,1533
11000000,1533
12000000,1533
13000000,1533
13992000,1529
15004000,1533
16000000,1533
17000000,1533
18000000,1533
19004000,1533
20000000,1533
21004000,1533
22000000,1529
22996000,1533
24000000,1533
25000000,1533
26000000,1529
27000000,1533
28000000,1533
28996000,1529
30000000,1
31004000,1
32000000,1
33000000,1
34000000,1
35004000,1
36004000,1
37004000,1
38004000,1
39000000,1
40000000,1
41000000,1
42004000,1
42996000,1
44004000,1
45000000,1
46000000,1
47000000,1
48004000,1
49004000,1
50000000,1
51004000,1
52004000,1
52996000,1
54004000,1533
