timestamp,accel_device_id,gyro_device_id
36000,1310988,1310988
564000,1310988,1310988
5048000,1310996,1310996
5128000,1310988,1310988
5225000,1311004,1311004
5236000,1310988,1310988
5284000,1310996,1310996
5304000,1310988,1310988
5320000,1310996,1310996
5345000,1310988,1310988
5384000,1310996,1310996
5408000,1310988,1310988
5432000,1310996,1310996
5488000,1310988,1310988
5524000,1310996,1310996
5604000,1310988,1310988
5664000,1310996,1310996
5688000,1310988,1310988
5708000,1310996,1310996
5748000,1310988,1310988
5764000,1310996,1310996
5784000,1310988,1310988
5828000,1310996,1310996
5892000,1310988,1310988
5980000,1310996,1310996
9072000,1310996,1310996
20520000,1311004,1311004
22809000,1310988,1310988
22817000,1310996,1310996
25309000,1311004,1311004
27482000,1310988,1310988
27970000,1310996,1310996
28038000,1310988,1310988
29474000,1311004,1311004
32285000,1310988,1310988
32533000,1310996,1310996
33073000,1310988,1310988
35901000,1311004,1311004
36810000,1311004,1311004
37082000,1310996,1310996
37223000,1310988,1310988
39716000,1311004,1311004
46948000,1310996,1310996
50555000,1310988,1310988
