timestamp,hpos_drift_rate,vpos_drift_rate,hspd,blocked
5044000,0.0,0.0,0.0,1
5112000,0.0,0.0,0.0,1
6016000,0.0,0.0,0.0,1
7024000,0.0,0.0,0.0,1
8032000,0.0,0.0,0.0,1
8932000,0.0,0.0,0.0,1
10036000,0.0,0.0,0.0,1
11044000,0.0,0.0,0.0,1
12044000,0.0,0.0,0.0,1
12964000,0.0,0.0,0.0,1
13964000,0.0,0.0,0.0,1
14964000,0.0,0.0,0.0,1
15972000,0.0,0.0,0.0,1
16976000,0.0,0.0,0.0,1
17984000,0.0,0.0,0.0,1
18984000,0.0,0.0,0.0,1
19980000,0.0,0.0,0.0,1
20981000,0.0,0.0,0.0,1
21985000,0.0,0.0,0.0,1
22989000,0.0,0.0,0.0,1
23993000,0.0,0.0,0.0,1
25005000,0.0,0.0,0.0,1
26009000,0.0,0.0,0.0,1
26109000,0.0,0.0,0.0,1
54243000,0.0,0.0,0.0,1
54347000,0.0,0.0,0.0,1
